height,mpluto_bbl,cnstrct_yr,globalid,bin,shape_len,shape_area,office_area,retail_area,residential_area,OBJECTID,street_width_min,street_width_max,posted_speed,betweeness,station_complex_id,ridership_evening,ridership_late_night,ridership_midday,ridership_morning,ridership_night,distance_from_station(ft),idw_aadt_2019,idw_aadt_2020,idw_aadt_2021,idw_atvc_2018,idw_atvc_2019,idw_atvc_2020,idw_aadt_mean,idw_atvc_mean,office_within_450ft,retail_within_450ft,residential_within_450ft,distance_to_park,distance_to_school,food_100,food_400,food_800,food_1000
42.0048953,1013490002,1910,{9BFC390A-403E-4844-ACCD-FA5670A4255A},1039977,0.0,636520502.758,0,2500,2084,97936,70.0,72.0,25,0.04402380720070251,612,1625.4859604328765,98.03325028221971,1074.6586789215937,341.6066464700863,460.1673896313136,1077.5438808767997,14172.18257586058,14002.000569356253,15717.528664771415,150.0401065986259,196.26177594591445,236.43967588041355,14630.570603329417,194.24718614165133,25150,17713,205088,708.9873536505255,503.2333309839161,5,76,225,347
102.31,1015120059,1924,{DD2ACA60-0CE6-447A-8FD7-56964723F8AB},1047662,0.0,636520502.758,1500,0,50244,104920,50.0,50.0,25,0.07908184636005697,397,1168.5142938300596,60.24255207188666,1087.2616706494805,571.048297363842,383.0068052677777,587.0701199525668,12853.15845350289,13037.168430689911,14631.070523491067,131.02328673419427,161.88257398937316,254.08339868734004,13507.132469227954,182.32975313696917,18290,10648,623350,319.7178333551298,874.5586081683019,9,32,147,192
29.04,1015140027,1960,{C6480FAC-81AF-4DE3-BB2B-CC9E1C01D36C},1047937,0.0,636520502.758,0,0,0,96114,60.0,60.0,25,0.005780346820809248,397,1168.5142938300596,60.24255207188666,1087.2616706494805,571.048297363842,383.0068052677777,261.56666093932176,13407.796189898865,13471.600352480404,15127.34364120801,133.266820590502,162.25500640588595,256.8116029676015,14002.246727862426,184.11114332132982,28588,72241,617646,701.8033656112565,720.9802623409071,7,60,161,195
50.93,1019520102,1901,{44B5E8F0-1D22-4467-8F58-204CAFD597A8},1059320,0.0,636520502.758,0,900,3972,96099,60.0,60.0,25,0.015525271692254615,153,522.5985474711888,65.53165014266571,614.3056596527136,428.00515497089145,199.26140211977042,320.9474957756067,10622.542110621293,11896.777915511562,13305.670034136088,101.82126478651925,139.89323306270018,284.11076521174977,11941.663353422982,175.27508768698974,5522,19785,75338,181.00247642901843,346.1094730924544,3,21,65,91
43.75,1005860065,1833,{26114925-FE83-4E3E-99DE-8A713B03807A},1009923,0.0,636520502.758,0,879,1785,105630,34.0,42.0,20,0.021948017852454715,323,272.02858287712195,83.75905145410314,266.12425960357245,130.30770172578661,222.06077937184878,803.9885055444724,7004.598999124653,6561.92898312885,7406.666387636099,111.80379854412875,139.29821923165363,311.5806724136189,6991.064789963201,187.56089672980042,135,35208,135679,369.47491076119934,910.3714418120178,11,151,317,421
29.08,1006060077,,{D3248DF9-53FA-4098-8A76-8C307CF1D336},1010557,0.0,636520502.758,0,1085,2146,99243,24.0,24.0,25,0.01851754616259736,167,1039.1933462465715,246.5333768146168,817.8908353942295,318.0253074199023,843.7340479378781,983.2129785278042,7546.283449565891,7864.091061615338,8839.794514626783,124.67903841005393,147.40949768854222,302.9363772301508,8083.389675269337,191.67497110958232,0,57900,289723,87.96114771212851,181.6771299930505,6,80,379,511
164.07,1011250009,1929,{43B43FEB-F68D-41A6-8217-F0BA43B92C80},1028634,0.0,636520502.758,1000,0,79281,117167,60.0,60.0,25,0.014608576093494887,160,285.8620931081874,16.221316802819466,285.8625843011725,103.94936913784132,86.74142004012964,651.1030466928272,10785.248921105003,10852.622320057017,12169.839198802796,122.9858978286256,167.08841075940455,231.74173729625932,11269.236813321606,173.9386819614298,21147,35805,955508,620.8249303312348,1144.7655302090352,5,49,102,130
38.4,1008830049,1920,{704344CA-FEC2-4735-91D3-CA466D1F31B3},1018182,0.0,636520502.758,0,2500,0,104681,36.0,36.0,25,0.00218565964422318,404,515.2693234283225,61.121718555269105,443.0874069143731,216.5262223605123,227.44007775229232,853.6712456813169,11853.009195549886,10793.887008562593,12045.766930953041,127.6186938674176,174.0438547418082,281.08691529651014,11564.22104502184,194.24982130191196,13555,69698,603629,647.9896584689308,1153.0249298115125,9,89,321,447
11.6,1016470001,1954,{357CB1BE-C0A3-4ABE-A5A1-C87ECEC847BC},1082346,0.0,636520502.758,0,0,367000,94875,50.0,50.0,25,0.04066964856230032,475,328.27185491274304,34.76743516101935,422.7651792178327,371.2512922999168,104.0375873157075,437.0613843803195,13834.573329601566,14276.87852053566,15821.03391707102,135.34988684942687,153.35188849417239,272.1989488944078,14644.161922402747,186.9669080793357,64454,6627,1507538,256.1340334809053,577.4764411281946,0,17,105,136
59.67,1005510013,1900,{5065A1CA-CB3D-41D9-8639-14AA64EA121D},1008853,0.0,636520502.758,2800,0,4114,95679,32.0,32.0,25,0.029946617659928242,167,1039.1933462465715,246.5333768146168,817.8908353942295,318.0253074199023,843.7340479378781,659.8430644660857,7308.416466931476,7179.8449429035145,8076.422234907878,122.91706509923353,141.19491178226025,309.5746271488132,7521.56121491429,191.22886801010233,44900,31837,589897,69.21090016298433,1204.331493485357,6,125,388,565
