name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng,bin,distance
Vanessa's Dumpling House,ChIJRUnhkElZwokRBRSJxl_Up68,1.0,4.3,635,OPERATIONAL,,"118A Eldridge St, New York, NY 10002",40.7183229,-73.9917755,1005433,0.0
Lan Larb Chiang Mai,ChIJzdVRpolZwokRD0zM5dURxsQ,2.0,4.6,658,OPERATIONAL,,"227 Centre St, New York, NY 10013",40.7199708,-73.9985609,1007008,0.0
Onieal's,ChIJEUf6rIlZwokRHhWVMHCKqCY,2.0,4.3,772,OPERATIONAL,,"174 Grand St, New York, NY 10013",40.7196848,-73.9978515,1006973,0.0
Williamsburg Pizza Lower East Side,ChIJcxboDYdZwokR_VxNBd3E91A,1.0,4.4,586,OPERATIONAL,,"277 Broome St, New York, NY 10002",40.718322,-73.99113179999999,1005436,0.19637691513498612
Mictlan México,ChIJPyX795hbwokRctV_MObe1fU,2.0,4.5,200,OPERATIONAL,,"17 Orchard St, New York, NY 10002",40.7152547,-73.99183889999999,1003873,0.0
Jose Luis Little Italy,ChIJS9QpAwpbwokRZY7OxTdAbQk,2.0,4.7,832,OPERATIONAL,,"115 Mulberry St, New York, NY 10013",40.71769159999999,-73.99840619999999,1079550,0.0
IL Cortile,ChIJOQ8A1IlZwokRd4ZMRvOMQ3o,2.0,4.3,2013,OPERATIONAL,,"125 Mulberry St #4603, New York, NY 10013",40.7179405,-73.9981924,1002653,0.0
Sixty Three Clinton,ChIJ385rlW9ZwokRHTamoLqoosI,,4.8,294,OPERATIONAL,,"63 Clinton St, New York, NY 10002",40.719503,-73.985142,1004230,0.0
Ernesto's,ChIJyaTH_pRbwokRp4SVDyxdALw,,4.2,420,OPERATIONAL,,"259 E Broadway, New York, NY 10002",40.71427509999999,-73.9854077,1003720,0.0
La Bella Vita restaurant,ChIJWd83UYhZwokRDMwXOWImOlg,2.0,4.6,2209,OPERATIONAL,,"163 Mulberry St, New York, NY 10013",40.719798,-73.997406,1006969,0.0
Saluggi's East,ChIJW0eidCpawokR5A505xH06l8,2.0,4.4,969,OPERATIONAL,,"399 Grand St, New York, NY 10002",40.7159551,-73.98730379999999,1077606,0.0
Manousheh Grand,ChIJOQXR4U1bwokRfhkCnTG8Obo,1.0,4.5,238,OPERATIONAL,,"403 Grand St, New York, NY 10002",40.7158414,-73.98735599999999,1077606,0.0
7 Elephants,ChIJD1skg_BbwokRjFBu9VHsDLw,1.0,4.7,109,OPERATIONAL,,"221 E Broadway, New York, NY 10002",40.714212,-73.9870455,1003735,2.0086255415818988
Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1263,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406,1079138,0.0
Kiki's,ChIJD-1a9ChawokRnTSi_Et62x4,2.0,4.5,1901,OPERATIONAL,,"130 Division St, New York, NY 10002",40.714521,-73.99185349999999,1003798,0.0
Super Taste,ChIJoR3RZyhawokRwR91d6hJvvY,1.0,4.6,1002,OPERATIONAL,,"26 Eldridge St, New York, NY 10002",40.715065,-73.99333179999999,1003782,0.0
Lan Larb Chiang Mai,ChIJzdVRpolZwokRD0zM5dURxsQ,2.0,4.6,658,OPERATIONAL,,"227 Centre St, New York, NY 10013",40.7199708,-73.9985609,1007008,0.0
Onieal's,ChIJEUf6rIlZwokRHhWVMHCKqCY,2.0,4.3,772,OPERATIONAL,,"174 Grand St, New York, NY 10013",40.7196848,-73.9978515,1006973,0.0
