flag_restaurant_one_year,bin,camis,latitude,longitude,open_year,close_year,years_open,food_100,food_400,food_800,food_1000,bus_100,bus_400,bus_1000,train_100,train_400,train_1000,office_area,retail_area,residential_area,street_width_min,street_width_max,posted_speed,dist_station,dist_park,dist_school,office_450,retail_450,residential_450,ridership_morning_mean,ridership_midday_mean,ridership_evening_mean,ridership_night_mean,ridership_late_night_mean,idw_aadt_mean,idw_atvc_mean
1,1035250,40559892,40.76451354,-73.97552804,2019,2021,2,26,187,776,1217,0,7,31,0,2,16,0,22155,58138,35,35,25,459.1361565,234.0431339,2628.252263,1967085,314356,2951231,61.52334095,313.7562108,461.8984335,181.3889286,43.99219153,12163.87174,179.0357529
0,1036177,50105794,40.75237868,-73.97424039,2021,2022,1,46,295,895,1381,1,8,52,0,2,10,348181,11145,0,35,35,25,801.0137343,958.7807299,2893.356111,5838482,328268,890861,1612.47102,2511.525188,3354.000049,999.4065995,221.5999305,11932.36394,192.5806806
1,1036185,50039626,40.75450075,-73.97595043,2017,2019,2,38,306,1185,1627,0,8,55,0,3,14,1177646,34930,0,26,56,25,839.5374952,1234.730894,2183.350996,10751809,273196,0,1612.47102,2511.525188,3354.000049,999.4065995,221.5999305,17705.66819,192.0128748
0,1039780,50113560,40.75626629,-73.96749269,2021,2021,0,13,253,691,998,0,10,39,0,2,8,0,1967,2503,32,32,25,691.0851706,498.8080313,1100.571293,169363,187901,2314493,324.2068626,1063.379715,1617.372645,446.4698203,92.64014585,13638.06403,194.660145
0,1050748,50083659,40.78024779,-73.94689925,2018,2019,1,13,90,272,387,0,6,33,0,0,4,0,1745,7000,70,70,25,1486.528381,579.7743572,197.9763177,15839,55484,1029798,367.6960551,430.1983414,336.9496108,100.7107077,34.0602378,19106.24001,186.4537016
1,1006678,50002648,40.72842738,-73.98780134,2017,2019,2,42,405,978,1348,1,3,43,0,1,11,0,2067,10332,58,58,25,945.9072648,537.9406579,926.2447964,115762,220658,976834,179.6869401,339.2407457,374.9209186,259.3593844,69.26781827,9794.132787,195.3812308
0,1010179,50077644,40.7325561,-74.00338452,2018,2019,1,36,336,772,1039,0,5,19,0,3,11,0,1008,1049,24,25,20,324.2212864,382.621132,622.9994504,52910,193180,1319759,122.0010953,259.5622631,266.0474756,219.5916714,83.94983796,9055.120364,189.9956656
1,1014421,50084938,40.7529358,-73.99290405,2019,2021,2,17,398,1081,1649,0,5,31,1,2,15,204511,38839,0,30,36,25,271.5788728,1532.79764,2006.470286,4710991,362056,61541,1376.417321,1506.568833,1487.558633,719.5192699,178.3090543,11250.61759,193.1964767
0,1018056,50086469,40.73986441,-73.98449013,2019,2019,0,29,228,766,1171,1,13,57,0,2,10,1000,1000,3000,50,50,25,510.510429,975.8652391,346.36915,1262672,274821,1030088,247.0244484,597.9281576,623.5802993,230.8537294,46.94066508,10694.17405,195.8843938
1,1024787,41628608,40.76120231,-73.985467,2018,2020,2,22,407,1313,1788,0,3,42,0,4,17,0,4515,0,30,32,25,249.9330903,861.6868044,547.4868343,4098573,476976,1990865,208.5400605,486.8384249,474.2337006,317.0416878,78.32521528,9727.90137,189.1872909
0,1036179,50112325,40.75248549,-73.97320447,2021,2021,0,35,273,882,1260,1,9,57,0,2,9,0,8800,0,70,70,25,930.2024143,919.2875164,2944.937264,4813035,293067,890861,1612.47102,2511.525188,3354.000049,999.4065995,221.5999305,12750.5784,192.9638787
0,1002692,50086409,40.71871429,-74.00092351,2019,2020,1,21,207,772,1108,0,0,27,2,4,20,70126,15000,1200,24,25,25,94.23133045,436.9707523,616.8966679,1004544,434440,176420,196.6609724,1053.437561,1351.476505,523.3376345,84.09542707,10458.43292,209.9909776
1,1010349,50036360,40.72571583,-74.00914952,2018,2020,2,7,63,403,703,1,3,16,0,1,7,0,2000,3800,44,44,25,1319.269623,237.6082525,1226.832294,586641,91507,883651,39.28250768,121.0893667,164.7317462,59.86605691,24.28141347,15669.8637,205.761121
0,1015920,50094579,40.75072563,-73.98599985,2020,2020,0,33,394,1395,1979,0,9,41,0,2,19,49463,4000,0,35,36,25,613.2355068,367.3652465,1740.134083,2572000,524320,572599,984.7442299,2088.110611,2730.168545,1283.508016,265.328455,10719.55904,195.1045205
1,1085066,40545543,40.7853539,-73.97298175,2017,2019,2,20,102,239,313,1,12,42,0,1,6,0,3500,18620,60,60,25,1043.925073,776.9229134,382.2752917,4375,99837,1286109,150.7405892,277.6970657,275.1287468,71.08769283,15.21714447,14758.48018,175.7989916
1,1011109,50082974,40.73875109,-74.00019486,2018,2020,2,25,192,765,1146,1,2,19,0,6,16,0,4150,27850,52,52,25,821.6798012,461.9024969,1114.951864,72966,150013,1916772,275.4264849,998.5110434,1296.335111,636.2417412,169.6118047,9221.221133,189.6062834
1,1036085,41498197,40.76341185,-73.97102329,2018,2020,2,11,183,689,1080,0,3,35,0,3,11,482347,46434,0,32,34,25,744.7977538,258.5767207,1692.524725,5255773,669864,1320506,50.56310746,367.0909213,540.3281032,164.7844838,26.09993478,11901.55156,172.7639836
1,1038559,41087519,40.75685356,-73.96709535,2017,2019,2,14,252,684,975,1,11,39,0,1,8,0,5975,0,32,32,25,508.1871702,555.9446898,808.3071717,2010014,229298,2620849,324.2068626,1063.379715,1617.372645,446.4698203,92.64014585,13532.14889,193.4033218
1,1048656,40368338,40.77543362,-73.95353209,2017,2019,2,23,181,474,568,1,7,45,0,1,4,0,600,3808,30,30,25,1024.593885,1617.946034,274.9014481,11345,103058,1638231,472.9150057,548.5675635,513.6560753,179.3584857,33.17997268,14701.68984,183.4624995
1,1082667,50093006,40.71667876,-73.98046251,2019,2021,2,0,7,258,514,1,10,36,0,0,3,0,15080,242138,52,52,25,1895.431891,413.9179852,329.3507804,0,104798,13196132,354.1730547,671.5758437,635.6536034,428.1390447,165.7139533,10528.88382,188.8981526
0,1003028,50105783,40.72030351,-74.0010967,2021,2021,0,3,202,784,1172,0,1,27,0,5,20,27200,6800,0,24,26,25,177.0136693,266.1486393,737.3408196,946561,414738,615788,196.6609724,1053.437561,1351.476505,523.3376345,84.09542707,9308.130947,205.7187135
0,1004040,50093065,40.71612824,-73.98946658,2019,2020,1,19,260,769,1004,1,9,43,0,3,10,0,1962,8910,54,54,25,906.9557151,260.1424645,220.496335,38432,233464,3037977,217.9916178,376.504674,346.3594401,151.6853378,40.88689069,8688.295857,186.7274933
0,1079858,50099869,40.8292103,-73.94470638,2020,2020,0,4,36,144,200,1,10,52,0,1,8,0,1700,3300,60,60,25,1025.322287,98.32828224,198.0858806,14934,42064,863207,65.43596147,68.37624909,36.46122261,13.45748209,13.94777356,15585.67766,178.4144524
1,1008707,41236577,40.72924048,-74.00006494,2019,2021,2,70,314,872,1287,0,6,20,0,2,15,43738,8500,2000,24,24,25,988.1788854,391.9466492,1607.034914,133917,260271,1639608,299.0845139,787.354402,996.3576792,802.5665785,231.8887899,7040.712187,192.0435411
1,1032010,50081412,40.78471528,-73.97716723,2018,2020,2,34,140,288,348,1,18,45,0,1,5,0,3000,18340,30,34,25,790.433981,557.4198913,748.6447146,54075,209182,1894041,200.4001425,392.1814712,381.8847802,140.6255404,25.29652839,10453.57513,181.2960716
1,1077759,50056178,40.72334734,-73.99475797,2019,2021,2,17,231,1047,1733,0,4,29,0,5,18,0,1950,8247,22,24,25,760.1387264,649.2161354,1139.707418,204566,257560,1242153,90.0699789,301.2510141,367.9419425,179.7353131,48.99107672,7331.646648,200.1667513
0,1083156,50113547,40.73315432,-73.99342936,2022,2022,0,20,191,942,1516,0,1,31,0,5,17,0,19484,162716,30,30,25,918.6245805,874.0198137,1171.849846,555021,342450,3000708,137.999518,350.6251366,428.4356004,255.5560835,62.84269339,6658.905365,189.735145
0,1000005,50088792,40.70253319,-74.01256178,2019,2019,0,15,138,301,441,0,1,8,1,3,13,1848626,39500,0,38,40,25,283.0290791,72.0845359,819.6112065,4545544,92031,126420,374.3028253,630.9954129,678.6138536,164.8977203,71.8726233,10282.59697,210.3133386
0,1000022,50098571,40.70350494,-74.0116062,2019,2019,0,29,181,385,508,1,1,9,0,4,14,0,26013,0,20,22,25,231.7298419,402.5898321,456.0746321,8823213,278302,182478,374.3028253,630.9954129,678.6138536,164.8977203,71.8726233,5820.542395,207.8879517
0,1006415,50094304,40.72912426,-73.98530445,2019,2020,1,25,417,886,1180,0,10,49,0,1,9,0,1000,5928,30,30,25,1241.227278,502.2604527,417.6337243,50403,195205,1513015,344.129521,587.9586515,587.1272785,331.0768369,87.91929514,8280.951983,195.8057723
0,1064776,50105236,40.86534473,-73.92117934,2021,2021,0,2,83,167,178,0,8,16,0,2,5,2000,2000,60212,40,42,25,622.4044254,721.2819595,176.1306128,7000,70804,1512175,153.2954056,162.5882581,105.2892277,41.67142161,31.95391537,16916.5159,193.928425
0,1024892,50093763,40.7656484,-73.98247332,2019,2019,0,36,295,849,1243,0,7,41,0,4,12,0,3480,3360,30,30,25,709.2575729,788.8927514,936.1962677,1758911,489668,2051666,223.4412097,695.7509194,931.5671545,473.9656142,82.14744697,10325.0649,173.5571417
0,1026362,40572951,40.75937225,-73.99277702,2022,2022,0,37,273,900,1430,0,5,23,0,1,12,0,0,0,34,34,25,1735.931473,279.6421101,1076.774395,511337,487019,6448577,2703.754781,3235.71124,3666.633797,2372.335545,685.697381,10360.13714,192.5960293
1,1028438,41031707,40.77455472,-73.97994722,2017,2019,2,13,105,232,388,1,12,46,0,2,5,0,1500,7965,30,30,25,717.6298932,499.3653329,743.3629769,727611,121967,1879222,174.1935088,494.2565951,505.7692347,278.4446508,31.47244723,10836.42955,173.20015
0,1036474,50115051,40.75845753,-73.97091355,2022,2022,0,44,298,989,1327,0,7,45,0,2,12,1466024,149455,0,32,35,25,201.8127373,1033.719454,637.0398206,8042274,354186,818206,324.2068626,1063.379715,1617.372645,446.4698203,92.64014585,12452.26927,188.9830981
0,1082164,50081739,40.80768549,-73.96411525,2018,2019,1,8,53,131,242,2,10,50,1,1,5,0,0,0,40,40,25,78.32148355,65.01776062,1884.760983,7186803,19330,398828,99.24140612,381.0873677,443.799495,157.6072362,22.55691573,16178.08354,167.0992252
1,1000856,50070505,40.70346117,-74.01003009,2017,2019,2,28,195,417,497,0,2,14,0,5,14,0,1500,4836,58,60,25,825.4266352,132.9373819,476.2260602,8051269,196816,620959,374.3028253,630.9954129,678.6138536,164.8977203,71.8726233,9095.228129,212.7275429
1,1036511,41640818,40.75980496,-73.96995639,2017,2019,2,30,280,884,1203,0,9,38,0,4,9,440,8384,0,30,30,25,852.8981346,615.0995442,820.2170705,4497161,386479,1164576,324.2068626,1063.379715,1617.372645,446.4698203,92.64014585,12583.2015,185.6017379
0,1045201,50092698,40.77183056,-73.95555281,2019,2019,0,23,162,454,576,0,8,51,0,0,5,0,3740,18400,30,30,25,1344.540024,1712.902586,641.7343775,48703,146557,2180875,301.4577082,670.8546017,729.25556,222.6850294,32.6170628,13528.81863,182.7481277
0,1047691,50109054,40.77856921,-73.95627044,2021,2022,1,12,125,411,525,0,2,33,0,2,5,0,976,3360,50,50,25,356.6076181,407.7024118,782.5617564,83911,320825,3170165,546.4440467,1059.746005,1143.813964,363.5997772,57.27808589,13453.34526,183.0390651
1,1069249,50046874,40.74282304,-73.9829124,2017,2019,2,31,243,833,1218,0,6,56,0,2,8,0,0,0,36,36,25,315.7679212,920.62643,640.9755359,2439793,198047,1054042,201.9866795,429.6357254,499.3011351,212.2576087,55.73475984,8783.774486,196.037013
1,1014453,41691247,40.75362185,-73.99095852,2017,2019,2,11,442,1301,1818,0,2,34,0,5,17,215983,9875,0,35,38,25,783.6715434,1615.450333,2065.211944,5078559,412034,715682,1376.417321,1506.568833,1487.558633,719.5192699,178.3090543,11094.03056,195.7568726
0,1015919,50101906,40.75140366,-73.98659885,2020,2020,0,23,364,1401,1983,0,6,42,0,5,20,66150,11810,267247,35,35,25,600.3525491,331.1800044,1723.352134,2597819,512830,626459,984.7442299,2088.110611,2730.168545,1283.508016,265.328455,11320.02066,196.77837
0,1050444,50060293,40.774675,-73.95096554,2018,2019,1,13,136,445,521,0,16,43,0,1,4,0,1200,6550,70,70,25,1189.803018,1462.374306,583.844012,2530,60916,2238211,472.9150057,548.5675635,513.6560753,179.3584857,33.17997268,16824.65168,184.7000705
0,1080224,50078678,40.7394481,-74.00597585,2019,2019,0,12,178,507,735,0,2,17,0,2,10,33224,5844,0,34,34,25,1173.692751,165.0866927,1413.95297,789019,446731,651216,275.4264849,998.5110434,1296.335111,636.2417412,169.6118047,9302.500017,188.3662396
1,1080445,50059647,40.75373846,-73.96781877,2017,2019,2,11,130,599,888,1,9,37,0,0,8,0,2500,12500,30,30,25,1631.662961,491.2219539,2150.198314,605271,97751,2195819,324.2068626,1063.379715,1617.372645,446.4698203,92.64014585,13014.10577,199.049719
0,1088921,50105700,40.72099238,-74.00415235,2021,2022,1,14,130,678,1043,1,2,20,1,4,21,2370,4425,0,30,30,25,214.0845243,200.3922961,1117.956655,1486661,194791,718677,95.10055518,352.1302649,577.607146,189.2336402,49.17163859,9652.868666,206.4291417
0,1015598,50110049,40.74262626,-73.99009391,2021,2021,0,19,249,999,1477,0,9,42,0,3,19,47659,4000,0,32,34,25,616.5616551,341.9747624,523.5398743,3219587,550129,1166306,257.3661248,523.6511522,686.4625915,244.4526723,47.24555521,8977.993236,194.4027172
1,1017006,50015960,40.74723422,-73.98541954,2017,2019,2,68,326,1206,1775,1,12,48,0,4,21,11763,11473,0,32,35,25,831.8529051,947.0233646,938.1605844,5535608,489870,1158673,274.4527969,582.1307022,650.9962935,239.4602567,51.55925783,10188.99378,191.9853228
