bin,latitude,longitude
1088533,40.74874427,-73.98930982
1003979,40.71757494,-73.99199515
1016901,40.74387188,-73.98536975
1056625,40.80109081,-73.96729373
1087911,40.7704094,-73.95720005
1003106,40.718308,-73.99591636
1005788,40.72630523,-73.98417941
1006906,40.73282704,-73.98611548
1051917,40.79012081,-73.94721275
1076770,40.86487395,-73.91911548
1001790,40.71549192,-73.99814224
1005232,40.72891226,-73.9809027
1010036,40.73319281,-74.00547734
1003616,40.71416292,-73.98879595
1032105,40.7853682,-73.97556007
1036456,40.75606127,-73.97059696
1038762,40.75164228,-73.9708624
1044211,40.76076024,-73.96114453
1081023,40.77347382,-73.98329082
1005583,40.71896383,-73.99254693
1006166,40.72592707,-73.98960213
1008214,40.72645446,-73.99573186
1020389,40.73218182,-73.98453883
1030097,40.77965723,-73.98002872
1032246,40.78730508,-73.97158703
1045893,40.76885479,-73.95440676
1007214,40.72259538,-73.99785703
1081908,40.864303,-73.91906195
1044032,40.77065636,-73.95701938
1054213,40.80716357,-73.9375038
1063475,40.84285437,-73.93922305
1079230,40.76044831,-73.99488499
1001052,40.708492,-74.01337446
1007338,40.72376189,-74.0026048
1009706,40.73681599,-73.99721788
1008974,40.7308621,-73.9889591
1033556,40.79107153,-73.97438065
1045317,40.76190724,-73.96026667
1083610,40.80667096,-73.95896471
1002935,40.72141231,-74.00471877
1006944,40.71977642,-73.99507572
1022563,40.75460407,-73.98676062
1035355,40.75407059,-73.97993536
1035423,40.7568917,-73.97722012
1051506,40.7926775,-73.95019382
1055948,40.80016792,-73.96506202
1013657,40.75633662,-73.99413814
1080710,40.74498938,-73.9887727
1079713,40.72152988,-73.98873698
1082254,40.7544181,-73.99553515
1089237,40.74496471,-73.97263369
1002390,40.71696312,-73.9982396
1006944,40.71965014,-73.99476909
1016888,40.74358925,-73.98600858
1025011,40.75934448,-73.98881359
1003938,40.71774524,-73.99404054
1013695,40.75654236,-73.99217092
1033295,40.78915286,-73.97395164
1077847,40.72878759,-73.99935056
1081541,40.74087278,-74.00168886
1036915,40.76139095,-73.96818326
1000846,40.70453432,-74.01067945
1015829,40.74772296,-73.98687749
1020395,40.73201983,-73.98415279
1042464,40.76625865,-73.96315572
1045935,40.76926003,-73.95199485
1058330,40.81497139,-73.94083098
1003600,40.71445951,-73.99046605
1052732,40.78977846,-73.9430347
1077803,40.728837,-74.00055564
1084788,40.72373078,-73.98520823
1088534,40.74711643,-73.98736121
1003906,40.71687796,-73.99565311
1015829,40.74772296,-73.98687749
1025254,40.76509464,-73.98775489
1035390,40.75516007,-73.9788919
1045210,40.77124236,-73.95349531
1054037,40.80550163,-73.94008087
1040049,40.75918513,-73.96228971
1054468,40.80463597,-73.9380769
1067973,40.75655629,-74.00380806
1067973,40.75655629,-74.00380806
1079010,40.71784146,-73.99973666
1005692,40.72067107,-73.99254313
1011660,40.73826519,-74.00402713
1014746,40.74158359,-73.99547106
1036200,40.75383342,-73.97429035
1046275,40.76766854,-73.95313319
