,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
19565729,25982,Brooklyn,2016,9,25,0,15,281,162745,POINT (987343.1304344165 194624.01544466757),BROOKLYN QUEENS EP ET 28 B EB,Brooklyn Queens Expressway,Prospect Street,EB
3478688,9876,Manhattan,2011,4,2,23,0,22,182716,POINT (990825.4 229012.1),RIVERSIDE DR MAIN RD APPROACH TO W 95TH ST,W 95 ST/HHP SB EXIT 11,BEND,NB
10106013,16701,Queens,2014,5,18,1,0,115,132895,POINT (1059681.2 198437.9),HEMPSTEAD AV,CROSS IS PKWY,CROSS ISLAND PARKWAY,EB
9948206,17345,Queens,2014,6,20,7,15,364,194362,POINT (1032930.1 209737.6),HOR HARDING EXWY SR N,MAIN ST,146 ST,WB
7877176,16163,Bronx,2013,11,14,8,15,172,78180,POINT (1011026 244988.4),CLAREMONT PKWY,PARK AV,WASHINGTON AV,NB
5978732,12387,Queens,2012,1,30,14,0,204,60256,POINT (1041508.5 198209.9),HILLSIDE AVE APPROACHING 169TH ST,168 PL,169 ST/HOMELAWN ST,EB
12282295,18075,Queens,2014,11,19,4,45,7,103498,POINT (1039045.8142349602 199572.09012178646),164 STREET,84 Road,84 Drive,NB
16594435,23365,Staten Island,2016,5,4,11,15,5,112188,POINT (949878.3380691527 156993.92732512925),MANOR ROAD,Dead end,Brielle Avenue,EB
5073384,11309,Staten Island,2013,1,30,0,30,7,16384,POINT (962950.7 172726.9),CENTRAL AV,HYATT ST,SLOSSON TER,NB
18018774,24075,Brooklyn,2016,10,18,11,30,120,265958,POINT (983819.7489572052 177375.13403359734),5 AVENUE,34 Street,36 Street,NB
5899815,12312,Manhattan,2012,1,13,2,45,38,70939,POINT (1001247.3 247436.8),BROADWAY APPROACHING W 174TH ST,W 174 ST,W 175 ST,SB
2083983,7321,Queens,2010,4,11,22,0,184,155996,POINT (1029502.9 217164.5),E/B FLUSHING BRIDGE @ PRINCE ST,NORTHERN BLVD,NORTHERN BLVD,EB
25222594,28006,Queens,2018,6,2,8,15,47,62211,POINT (1055108.9938887337 161625.57818784998),CENTRAL AVENUE,Dead End,Virginia Street,EB
3159293,9598,Brooklyn,2011,2,9,20,0,57,44285,POINT (1001856.3 193159.7),MYRTLE AVE BET LEWIS AVE & BROADWAY,LEWIS AV,BROADWAY/JEFFERSON ST,EB
12325417,17986,Manhattan,2014,10,7,9,15,1062,150149,POINT (991734.7390120385 208964.60926690372),F D R DRIVE,Dead End,Dead end,SB
13503884,20847,Brooklyn,2015,6,21,16,15,132,163447,POINT (993463.0780622759 161339.08689880563),AVENUE P,Ocean Parkway,East 7 Street,EB
8089087,15917,Brooklyn,2013,11,4,13,45,64,161686,POINT (981243.3 174752.3),49 ST,5 AV,4 AV,WB
11450777,19030,Bronx,2014,12,5,1,45,6,114036,POINT (1022656.2642098905 257868.76158990155),BRONXWOOD AVENUE,Dead End,Magenta Street,NB
8254169,16152,Manhattan,2013,11,20,15,45,159,22995,POINT (980277.1 195771.2),STATE ST,BRIDGE ST,BATTERY PL,NB
13539907,20622,Queens,2015,6,4,12,45,45,58927,POINT (1042694.6064587674 182478.0117060295),150 STREET,133 Avenue,North Conduit Avenue,NB
8185574,15499,Manhattan,2013,10,8,15,45,455,137516,POINT (1004175.7 247779.8),WASHINGTON BRG,BOROUGH BOUNDARY,WASHINGTON BR,EB
9533568,17204,Bronx,2014,4,30,22,0,10,85831,POINT (1020699.4 244976.9),ST LAWRENCE AV,MANSION ST,E TREMONT AV,NB
16656485,23067,Brooklyn,2016,4,17,20,0,123,35679,POINT (999693.1319427252 206038.30356170496),GREENPOINT AVENUE,North Henry Street,Monitor Street,EB
4030805,10747,Queens,2011,5,24,1,0,31,155866,POINT (1017082.9 217682.4),Astoria Blvd WB Between,87th St and 88th St,88 ST,WB
26150734,31042,Brooklyn,2019,10,9,1,45,8,47311,POINT (1011787.5845197403 184765.8095393854),LIBERTY AVENUE,Hinsdale Street,Williams Avenue,EB
15069405,21199,Queens,2015,10,3,7,30,77,45069,POINT (1006347.6386141622 198324.09700198314),FLUSHING AVENUE,Seneca Avenue,Onderdonk Avenue,NB
23999790,28809,Bronx,2019,1,10,11,30,66,79757,POINT (1011352.6114610283 253153.0613038088),JEROME AVENUE,East 184 Street,East Fordham Road,SB
1464852,2953,Queens,2010,3,31,9,30,393,64059,POINT (1059437.2 181796.4),W/B S CONDUIT AVE@HOOK CREEK BLVD(CIT L),HOOK CREEK BLVD,DEAD END,WB
25874398,31027,Bronx,2019,11,7,14,30,241,95712,POINT (1032020.3279917736 261815.16780639163),CONNER STREET,Hollers Avenue,Boston Road,SB
1310746,2795,Brooklyn,2010,7,28,14,30,14,165287,POINT (998604.8 203280.8),E/B NASSAU AVE @ MCGUINNESS BLVD,MC GUINNESS BLVD,MC GUINNESS BLVD,EB
1535374,3025,Queens,2010,1,12,22,45,68,82328,POINT (1025495.4 207451.2),S/B 108 ST @ 62 DR,62 DRIVE,62 ROAD,SB
2676559,8281,Queens,2012,5,5,0,0,29,57082,POINT (1037073.6 196292.7),SUTPHIN BLVD,HILLSIDE AV,88 AV,NB
12456502,18050,Queens,2014,10,19,10,45,554,9013577,POINT (1030706.8062959301 199342.21396094485),JACKIE ROBINSON PARKWAY,Dead End,Kew Gardens Road,WB
26290856,28591,Manhattan,2017,11,20,2,0,20,72755,POINT (1006128.4605448156 255233.27996810432),WEST 207 STREET,Vermilyea Avenue,8 Avenue Line,WB
366969,1617,Brooklyn,2010,6,17,2,0,6,127913,POINT (1000741.7 163341),W/B AVE P @ E 33 ST,E 33 ST,E 34 ST,WB
5892532,9645,Manhattan,2011,2,8,0,0,49,158977,POINT (999392.7 233707.4),LENOX AVE SB APPROACH TO E 125TH ST,W 126 ST,W 125 ST,SB
23261800,29228,Brooklyn,2018,10,18,21,15,40,46223,POINT (1010297.662840296 172505.36494578279),FLATLANDS AVENUE,East 89 Street,Remsen Avenue,EB
15340094,21144,Bronx,2015,9,16,8,15,2061,139303,POINT (1019709.480840625 250301.45347580017),BRONX RIVER PARKWAY,Bronx Rvr Py Sb En Pelham Py Eb,Dead end,SB
11899808,18476,Brooklyn,2014,11,16,11,15,43,41123,POINT (1004542.2211288913 164876.4425550288),UTICA AVENUE,Avenue M,Avenue N,SB
20171714,26148,Brooklyn,2017,6,6,9,45,70,22875,POINT (988962.398515977 184513.01620559648),5 AVENUE,2 Street,3 Street,SB
23984918,29645,Manhattan,2019,1,7,13,30,79,165491,POINT (993231.3019383672 217780.07018915232),EAST 62 STREET,Park Avenue,Lexington Avenue,EB
23365654,29140,Manhattan,2018,10,15,17,30,108,37302,POINT (991974.7632044622 224250.16821106122),WEST 81 STREET,Columbus Avenue,79 St Transverse,EB
13513601,20747,Queens,2015,6,16,12,15,80,185574,POINT (1019996.6513901334 206418.0920487438),HOFFMAN DRIVE,Dead End,Woodhaven Boulevard,EB
21464972,26510,Brooklyn,2017,9,28,0,45,35,28288,POINT (995909.3860478885 170336.80851681842),OCEAN AVENUE,Farragut Road,Glenwood Road,EB
5833045,12261,Brooklyn,2010,7,11,15,15,124,167286,POINT (1006590.9 172663.9),RALPH AVE SB APPROACHING FOSTER AVE,E 80 ST,FOSTER AV,SB
25357419,30521,Brooklyn,2019,6,13,17,0,0,20698,POINT (981868.8393919122 172402.024147432),7 AVENUE,54 Street,55 Street,WB
21588222,26515,Manhattan,2017,11,1,21,15,145,34027,POINT (988195.5599900171 212137.04609834604),WEST 34 STREET,5 Avenue,6 Avenue Line,WB
11631646,18020,Manhattan,2014,10,26,14,0,233,158858,POINT (989174.1293007282 219583.57972073762),BROADWAY,West 60 Street,West 61 Street,SB
24057990,28831,Bronx,2019,1,11,20,45,33,81306,POINT (1017511.6312437564 261633.63838384545),JEROME AVENUE,East 212 Street,East 213 Street,NB
12522763,18074,Queens,2014,10,9,16,0,82,106890,POINT (1008273.6075036176 212123.8748692524),39 AVENUE,50 Street,Dead end,WB
11728738,18546,Brooklyn,2014,11,19,17,0,100,163961,POINT (994960.6357128563 194960.71989602057),WILLIAMSBURG ST WEST,Wythe Avenue,Brooklyn Queens Expwy Et 31 Wb,SB
26627341,31147,Manhattan,2019,11,19,11,15,248,146631,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
2326801,7671,Brooklyn,2012,4,17,9,30,175,157671,POINT (1005865.2 161564.3),AV U,FLATBUSH AV,E 52 ST,WB
11794492,19063,Brooklyn,2014,12,18,5,45,218,168055,POINT (1014424.3890238707 179523.99488887656),PENNSYLVANIA AVENUE,Linden Boulevard,Hegeman Avenue,NB
13589470,20429,Queens,2015,6,16,21,0,23,67637,POINT (1004617.951803634 213344.7568891414),37 STREET,37 Avenue,Northern Boulevard,SB
6957992,14708,Staten Island,2013,6,18,22,45,39,6822,POINT (944343.6 146755.3),CLARKE AV,ST PATRICKS PL,GILBERT ST,WB
6909012,11066,Brooklyn,2013,6,5,8,45,58,19199,POINT (988864.5 156276.5),86 ST,AV U,W 12 ST,WB
7551342,15389,Manhattan,2013,7,29,11,45,223,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 60 ST,W 61 ST,SB
3228408,9662,Bronx,2011,2,11,9,0,20,79676,POINT (1010179.7 258783.2),EXTERIOR ST NB APPROACH TO W 230TH ST,EXTERIOR ST,W 230 ST,NB
18093976,23485,Staten Island,2016,5,20,6,0,217,110580,POINT (940888.3026162174 160931.69968078527),VICTORY BOULEVARD,Morani Street,Christopher Lane,EB
9314938,16856,Manhattan,2014,3,27,20,45,427,36145,POINT (993045.3 215898.7),3 AV,E 55 ST,E 56 ST,NB
24136970,28809,Bronx,2019,1,5,16,30,121,78342,POINT (1011992.122803858 245395.65121394076),3 AVENUE,East 172 Street,East 173 Street,NB
19913726,26125,Bronx,2017,5,23,5,15,6,89325,POINT (1025739.0718176997 263005.38506873406),PAULDING AVENUE,East 229 Street,East 230 Street,NB
18173809,24893,Manhattan,2016,10,9,7,0,121,133951,POINT (1004191.5601745147 247815.72834327558),WASHINGTON BRIDGE,Harlem River Shoreline,Harlem River Shoreline,WB
24268117,29756,Bronx,2019,2,14,13,45,112,78419,POINT (1011863.8990995616 248070.00184516612),EAST TREMONT AVENUE,Webster Avenue,Park Avenue,WB
24840418,30329,Bronx,2019,5,4,17,45,78,93606,POINT (1035037.1711117962 237289.7803440851),EAST TREMONT AVENUE,Miles Avenue,Lawton Avenue,SB
1387639,2868,Manhattan,2010,3,20,4,45,16,164301,POINT (987050.3 201533.8),S/B ALLEN ST @ RIVINGTON ST,RIVINGTON ST,DELANCEY ST,SB
14351811,19668,Queens,2015,6,10,0,30,8,192771,POINT (1061307.2904665621 218045.85574587237),HORACE HARDING EXPRESSWAY SR N,260 Street,Dead end,WB
22014789,26797,Manhattan,2017,10,29,18,0,316,34117,POINT (988284.6230480466 219189.40766183243),9 AVENUE,West 58 Street,West 57 Street,SB
4690364,11178,Brooklyn,2012,11,16,4,30,10,42841,POINT (1009113.8 173360.9),FARRAGUT RD,E 88 ST,E 89 ST,WB
23953737,29350,Brooklyn,2018,11,13,18,15,84,190964,POINT (1019864.4127989461 182332.63349874437),LINDEN BOULEVARD,Dead End,Dead end,WB
4741520,11467,Staten Island,2011,5,14,13,45,116,13756,POINT (953788.9 174244),RICHMOND TERRACE BET BARD AVE & DAVIS AVE,DAVIS AV,BARD AV,WB
23470232,29120,Manhattan,2018,10,14,2,0,242,9009495,POINT (986160.4435548312 221075.3355551486),12 AVENUE,Dead End,Dead end,SB
6655601,14277,Brooklyn,2013,5,6,15,30,120,28258,POINT (994841.1 177720.1),OCEAN AV,WOODRUFF AV,PARKSIDE AV/S LAKE DR,NB
18084644,23485,Staten Island,2016,5,18,14,0,91,12518,POINT (951800.0386938301 162983.27840217153),SLOSSON AVENUE,Ellsworth Place,Victory Boulevard,SB
21585827,26515,Manhattan,2017,11,3,22,30,67,33879,POINT (987355.6513051551 210681.0806738192),BROADWAY,Broadway Line,Broadway Line,SB
16538620,23433,Bronx,2016,5,12,13,0,31,70482,POINT (1009275.3919064008 232645.76314181558),EAST 140 STREET,Bruckner Boulevard,Amtrak-hellgate Line,EB
17303097,24046,Bronx,2016,7,22,8,30,27,81001,POINT (1011332.8196797529 267456.6111089174),WEST 253 STREET,Longview Place,Fieldston Road,EB
9115368,15833,Manhattan,2013,12,5,20,15,144,32807,POINT (986931.2 206926.2),E 14 ST,UNION SQ S/BROADWAY,4 AV,EB
17454186,23683,Brooklyn,2016,6,16,3,0,22,31307,POINT (999140.6894755734 192621.7236529961),TOMPKINS AVENUE,Myrtle Avenue,Vernon Avenue,SB
19096676,23864,Manhattan,2017,3,12,2,0,0,32137,POINT (983845.7087733189 203454.32009337243),WEST BROADWAY,Spring Street,Prince Street,SB
6313030,11564,Brooklyn,2012,10,21,8,15,34,27139,POINT (995417.7 164445.9),AV M,E 15 ST,ELM AV,EB
11882661,18476,Brooklyn,2014,10,30,14,0,77,43147,POINT (1003150.6991434798 180736.21115893844),EAST NEW YORK AVENUE,Dead End,Utica Avenue,EB
3434355,9849,Manhattan,2011,4,5,2,15,9,158571,POINT (990336.2 213192.3),PARK AVE SIDE SR APPROACH TO 41ST ST,E 41 ST,E 42 ST,SB
6936786,10473,Queens,2012,6,14,9,0,93,138581,POINT (999150.3 213644.6),QUEENS PLZ S,12 ST,QNSBO BR UP RY APPR,WB
10721117,17527,Brooklyn,2014,6,22,7,45,16,158278,POINT (1016046 180079.6),LINDEN BLVD,CONNECTOR,VAN SICLEN AV,WB
19031598,25271,Bronx,2017,2,14,16,15,106,86473,POINT (1024039.7591674256 246546.15805656847),BRONXDALE AVENUE,Sackett Avenue,Pierce Avenue,SB
22895811,28260,Bronx,2018,6,2,10,15,45,9008902,POINT (1032030.9663091543 256606.19126492774),ASCH LOOP,Dead End,Dead end,EB
2818752,8349,Staten Island,2012,5,24,10,45,105,194072,POINT (964456.8 159479.7),NARROWS RD S,GRASMERE DR,VERRAZANO BR APPR/FINGERBOARD RD,EB
3094462,8957,Bronx,2012,6,12,4,15,38,141634,POINT (1015708.4 270074.8),HENRY HUDSON PKWY,BOROUGH BOUNDARY,DEAD END,NB
16656650,23067,Brooklyn,2016,4,5,13,15,143,35679,POINT (999693.1319427252 206038.30356170496),GREENPOINT AVENUE,North Henry Street,Monitor Street,WB
10102205,16701,Queens,2014,5,8,6,15,86,117626,POINT (1057869.2 220710),NORTHERN BLVD,MORGAN ST,GLENWOOD ST,EB
26505927,32143,Queens,2018,4,19,6,45,81,150486,POINT (1027287.8452473498 187372.65012587636),WOODHAVEN BOULEVARD,Dead End,Cross Bay Boulevard,SB
7488166,15389,Manhattan,2013,7,26,12,15,132,35875,POINT (990439.6 218452.3),CENTRAL PARK S,7 AV/C P 7 AV APPR,CENTER DR/AVE OF THE AMERICAS,EB
26931253,32417,Queens,2020,11,16,9,0,244,148940,POINT (1035110.6025548994 199407.3512357651),MAIN STREET,Dead End,Dead end,NB
24626538,30284,Staten Island,2019,4,2,3,30,7,7129,POINT (946126.3661732117 148024.30977051394),RICHMOND ROAD,Spruce Street,Andrews Avenue,EB
2232060,7549,Bronx,2009,12,7,20,30,22,88760,POINT (1029208.2 254499.4),ALLERTON AVE @ LODOVICK AVE,TIEMANN AV,LODOVICK AV,WB
21513617,26512,Queens,2017,9,30,18,0,77,84009,POINT (1027402.6290378561 215229.55933236616),126 STREET,37 Avenue,38 Avenue,NB
19598139,25942,Brooklyn,2016,11,1,10,45,190,122013,POINT (986709.79404467 183859.1926086265),3 AVENUE,Culver/ 6 Avenue Line,9 Street,NB
1697505,3225,Bronx,2009,3,18,21,0,14,73072,POINT (1008907 251084.7),E/B W 180 ST @ UNIVERSITY AVE,WIEGAND PL,DR M L KING JR BLVD,EB
3671742,8248,Manhattan,2012,6,24,15,45,200,173013,POINT (1000883.3 232722.3),E 125 ST,MADISON AV,PARK AV,EB
17077746,22562,Queens,2016,4,18,2,30,25,62117,POINT (1052683.2237422228 161701.27467566455),BEACH CHANNEL DRIVE,Hassock Street,Dead end,SB
9519817,16984,Manhattan,2014,4,5,22,15,0,34172,POINT (989223.7 213210),5 AV,W 39 ST/E 39 ST,E 40 ST/W 40 ST,SB
219723,1333,Queens,2011,10,25,3,45,3,45169,POINT (1007317.5 196330.5),STOCKHOLM ST,NICHOLAS AV,CYPRESS AV,NB
23322902,29131,Bronx,2018,10,8,9,30,65,113480,POINT (1011799.5668672438 242063.06166447903),BOSTON ROAD,East 169 Street,East 169 Street,NB
5131461,11560,Bronx,2012,10,15,3,0,7,80377,POINT (1016596 250802.4),CROTONA AV,E 187 ST,E 189 ST,SB
1690269,3215,Brooklyn,2009,3,12,21,15,8,25462,POINT (993069.3 156071.8),N/B E 3 ST @ AVE V,GRAVESEND NECK RD,AV V,NB
8055397,16214,Staten Island,2013,11,25,3,15,3,16379,POINT (962603.4 173135.1),ST MARKS PL,FORT PL,HYATT ST,SB
24504067,28844,Staten Island,2019,1,28,6,30,6,4297,POINT (935885.3293388549 142013.69295718396),BARLOW AVENUE,Pompey Avenue,Drumgoole Road East,EB
1595603,3090,Manhattan,2009,9,29,22,0,70,69366,POINT (1002154.9 236547.9),N/B 5 AVE @ E 139 ST,W 139 ST/E 139 ST/HARLEM RIVER DRV NB EN E 139 ST*,W 141 ST,NB
22057525,27357,Queens,2017,12,7,22,0,57,113401,POINT (1014163.808093959 211367.76705242932),ROOSEVELT AVENUE,73 Street,Broadway,EB
19594132,25982,Brooklyn,2016,10,5,15,45,71,35604,POINT (999361.871624486 201498.0250429166),BQE WB ENTRANCE MEEKER AVE,Bqe Wb En Mc Guinness Blvd S,Bqe Wb En Mc Guinness Blvd S,WB
1955912,7209,Manhattan,2010,11,1,16,30,420,159165,POINT (986925.9 201264.8),E/B DELANCEY ST @ ALLEN ST,ALLEN ST,ALLEN ST,EB
20805775,27071,Brooklyn,2017,5,18,5,15,1,148537,POINT (997994.3017477073 162255.83325837945),KINGS HIGHWAY,East 24 Street,East 23 Street,WB
11279067,17988,Brooklyn,2014,10,24,3,15,4,26825,POINT (992162.360250759 169205.12468369506),OCEAN PARKWAY,Newkirk Avenue,Parkville Avenue,NB
17059888,22704,Queens,2016,4,27,5,45,38,177617,POINT (1029005.9534388477 215152.16528651866),ROOSEVELT AVENUE BRIDGE,Flushing Line,Flushing Line,WB
18627956,24389,Brooklyn,2016,9,25,21,0,35,44155,POINT (1000285.1027271776 195696.0957715902),MOORE STREET,Humboldt Street,Graham Avenue,WB
6720362,14434,Manhattan,2013,5,14,13,45,158,37312,POINT (992673 225257.6),CENTRAL PARK W,C P W 85 APPR/W 85 ST,W 86 ST/86 ST TRANSVERSE,NB
14742467,21732,Brooklyn,2015,10,22,4,15,12,22855,POINT (989138.5745326213 181895.18626607052),7 AVENUE,10 Street,11 Street,SB
13861648,19316,Brooklyn,2015,4,18,23,0,11,22638,POINT (987251.2363295011 186362.303757392),CARROLL ST BRIDGE,Carroll Street,Carroll Street,EB
15363221,21131,Bronx,2015,10,12,6,0,32,70379,POINT (1008245.0687928788 237970.51607761974),3 AVENUE,East 155 Street,East 156 Street,SB
17075442,22562,Queens,2016,5,10,4,30,98,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
25084142,30203,Queens,2019,5,14,1,30,20,266714,POINT (1009697.5699248937 210784.73199839223),ROOSEVELT AVENUE,57 Street,Flushing Line,WB
26110308,30546,Brooklyn,2019,10,7,0,0,44,31144,POINT (997581.9399596859 200078.10535271652),UNION AVENUE,Crosstown Line,Brooklyn Queens Ep Et 32 B Wb,SB
15634180,21967,Queens,2015,11,9,15,45,25,131989,POINT (1048994.7511838316 215768.91792601327),46 AVENUE,Alley,215 Place,EB
1983243,7238,Bronx,2011,3,19,10,0,92,141212,POINT (1017525.8 243352.3),E/B E 174 ST BRIDGE @ BRONX RIVER AVE,E 174 ST BR,BRONX RIVER AV,EB
9335875,16887,Brooklyn,2014,3,18,6,0,18,28424,POINT (996615.5 172637),AV D,FLATBUSH AV,E 23 ST,WB
15032706,21131,Bronx,2015,9,17,0,45,10,88826,POINT (1029142.1937150337 259687.18227749385),BAYCHESTER AVENUE,Tillotson Avenue,Dyre Avenue Line,WB
12587300,19415,Brooklyn,2015,2,19,7,0,53,163908,POINT (993134.9007518043 198719.80597202727),KENT AVENUE,South 6 Street,Williamsburg Bridge,NB
23993848,29789,Queens,2019,1,30,14,0,76,65754,POINT (1060182.8570211325 177853.60565795473),HOOK CREEK BOULEVARD,148 Avenue,148 Road,SB
22720382,27808,Staten Island,2018,2,28,13,30,34,14601,POINT (964346.8136226111 157060.90458886814),SAND LANE,Mc Farland Avenue,Major Avenue,NB
450780,1771,Brooklyn,2010,9,30,14,30,59,28069,POINT (993275.2 172390.9),W/B CORTELYOU RD @ STRATFORD RD,STRATFORD RD,WESTMINSTER RD,WB
20526692,26799,Queens,2017,6,5,11,30,79,192731,POINT (1061446.3497406472 217963.62622360254),LONG ISLAND EXPRESSWAY,Dead End,Dead end,WB
13302635,20284,Brooklyn,2015,5,19,7,15,55,22855,POINT (989138.5745326213 181895.18626607052),7 AVENUE,10 Street,11 Street,SB
8440080,15798,Brooklyn,2013,11,3,1,45,1,44636,POINT (1004102.3 198966.5),MEADOW ST,VARICK AV,STEWART AV,EB
12497996,18074,Brooklyn,2014,11,23,16,15,108,21139,POINT (985602.0106659537 170128.63869066568),NEW UTRECHT AVENUE,52 Street,53 Street,NB
15373014,21178,Manhattan,2015,10,15,6,15,99,69072,POINT (1000335.5595611456 232241.90333445132),MADISON AVENUE,East 122 Street,East 123 Street,NB
7427614,15424,Manhattan,2013,8,1,17,45,337,32427,POINT (984424.1 206646.2),AVE OF THE AMERICAS,W 8 ST/GREENWICH AV,CHRISTOPHER ST/W 9 ST,NB
15726206,21066,Manhattan,2015,11,12,9,15,378,133951,POINT (1004187.4487066849 247818.25394748402),WASHINGTON BRIDGE,Harlem River Shoreline,Harlem River Shoreline,WB
4210939,10584,Brooklyn,2012,9,13,8,45,72,24771,POINT (990553.6 148901.7),SURF AV,W 10 ST,PEDESTRIAN OPAS,EB
12975127,19764,Manhattan,2015,3,20,7,15,414,36678,POINT (996901.5463172147 219847.6205077662),1 AVENUE,East 75 Street,East 76 Street,NB
24262222,29756,Bronx,2019,2,9,4,0,3,78389,POINT (1011691.9866830495 247757.87286161075),EAST 176 STREET,Webster Avenue,Park Avenue,EB
15174396,21178,Manhattan,2015,10,14,7,15,1007,134193,POINT (991758.4491566623 209130.57504329464),F D R DRIVE,Dead End,Fdr Drive Sb Entrance E 34 St,SB
24179220,28843,Queens,2019,1,15,19,0,56,56882,POINT (1036248.9847542025 195241.2684936596),JAMAICA AVENUE,139 Street,143 Street,EB
23035858,28820,Brooklyn,2018,7,17,14,15,0,17715,POINT (978614.9280589256 170693.55968804966),5 AVENUE,67 Street,Senator Street,SB
6370652,12038,Queens,2013,2,2,8,45,20,55805,POINT (1039168.1 189316.9),110 AV,111 AV/142 ST,143 ST,WB
23840358,28834,Brooklyn,2018,11,14,16,45,114,158217,POINT (987119.9917454856 153574.22518850493),CROPSEY AVENUE,27 Avenue,Bay 46 Street,SB
18970244,25148,Brooklyn,2017,1,27,2,30,2,128123,POINT (1006926.4147480103 167509.01862798491),AVENUE K,Alley,Ralph Avenue,EB
7430921,14751,Bronx,2013,7,8,10,45,44,70555,POINT (1009563.4 236602.6),WESTCHESTER AVENUE,BEND,JACKSON AVENUE,EB
24625219,30254,Staten Island,2019,3,27,14,15,74,145496,POINT (960257.3018482645 151901.80280779174),SEAVIEW AVENUE,Nugent Avenue,Connector,SB
6999268,14708,Staten Island,2013,6,22,11,45,11,6830,POINT (944213.5 147583.6),ST PATRICKS PL,CENTER ST,RICHMOND RD/PICADILLY PL,NB
27025954,32407,Bronx,2020,10,16,20,15,95,79377,POINT (1017997.9581182626 245104.2733355764),EAST 177 STREET,East Tremont Avenue,Devoe Avenue,NB
12953120,19869,Brooklyn,2015,3,17,12,45,17,41264,POINT (1005096.923144958 168005.37265409224),EAST 53 STREET,Avenue K,Flatlands Avenue,NB
16519740,21487,Queens,2015,9,28,13,30,46,234611,POINT (1025539.7937492505 209873.39067927445),111 STREET,Bike Path,54 Avenue,NB
10992927,17743,Manhattan,2014,10,12,18,0,105,193871,POINT (991870.9 209208.1),F D R DRIVE,RAMP,CONNECTOR,NB
18153639,24893,Manhattan,2016,10,20,10,0,333,36375,POINT (994318.3021745003 216729.49911111515),2 AVENUE,East 61 Street,Astoria Line,SB
20993027,26734,Manhattan,2017,10,24,5,15,99,34338,POINT (987876.7867992013 220311.87741552634),AMSTERDAM AVENUE,West 60 Street,West 61 Street,NB
5191943,11834,Brooklyn,2010,6,25,20,45,163,186616,POINT (986388.5 181634.6),PROSPECT AVE APPROACHING 4TH AVE,5 AV,PRE WB EXIT 2 B,WB
1590616,3085,Manhattan,2009,9,20,16,0,2,35875,POINT (990439.6 218452.3),S/B CEN. PK EXT TO 7 AVE @ CENT. PK S,7 AV/C P 7 AV APPR,CENTER DR/AVE OF THE AMERICAS,SB
6203206,11914,Manhattan,2013,2,26,7,30,100,103473,POINT (991223.9 200863.1),FDR DR NB EXIT 5,F D R DR,E HOUSTON ST/FDR DR NB EN E HOUSTON ST/E HOUSTON *,NB
27123610,32384,Manhattan,2020,10,28,3,30,21,270776,POINT (1008845.5343071799 257557.10178422925),BROADWAY BRIDGE,Broadway,Harlem River Shoreline,NB
19652095,25641,Manhattan,2017,4,22,18,15,331,36579,POINT (995979.1498823848 219729.53089787002),2 AVENUE,East 73 Street,East 74 Street,SB
25603647,31570,Brooklyn,2019,6,17,1,15,30,29290,POINT (994908.376779044 182104.6750159323),WASHINGTON AVENUE,Montgomery Street,Franklin Avenue Shuttle Line,NB
8798434,15800,Queens,2013,12,11,15,0,6,57823,POINT (1045011.1 156680.1),ELIZABETH AV,BEACH 51 ST,CONCH PL,EB
6074762,9728,Staten Island,2011,3,8,0,15,27,11362,POINT (952203.1 159474.7),SLOSSON AVE NB APPROACH TO TILLMAN ST,TILLMAN ST,SUSSEX AV/LINCOLN ST,NB
22969864,28260,Queens,2018,6,22,19,30,0,66465,POINT (1005366.9532002904 205372.98005941766),44 STREET,54 Drive,55 Avenue,SB
20359099,26587,Brooklyn,2017,8,9,23,0,3,25692,POINT (995050.1401138676 151210.50684659765),NEPTUNE AVENUE,Brighton 7 Street,Brighton 8 Street,EB
14759354,20506,Brooklyn,2015,10,11,2,0,55,154325,POINT (979697.4978986458 174563.14751565972),GOWANUS EXPRESSWAY,54 Street,53 Street,NB
10619337,17789,Manhattan,2014,8,4,8,0,66,173672,POINT (1000257.2 245212),W 165 ST,FT WASHINGTON AV,BROADWAY,EB
8544748,15809,Staten Island,2013,10,27,6,0,3,4530,POINT (938943.8 142525.7),BARLOW AV,FENWAY CIR,FENWAY CIR,EB
18883772,25212,Brooklyn,2017,1,26,19,45,38,17329,POINT (979686.008858334 164625.27593476782),11 AVENUE,82 Street,83 Street,SB
4227257,11023,Brooklyn,2012,10,3,16,0,58,26235,POINT (998735.1 153752.5),AV Z,E 21 ST,E 22 ST,EB
7795552,15917,Queens,2013,10,24,17,15,988,152885,POINT (1056396.9 212412.3),CROSS IS PKWY,WEST ALLEY RD,DOUGLASTON PKWY,NB
5626741,12073,Bronx,2011,12,8,0,15,12,154865,POINT (1032328.7 256294.7),CO OP CITY BLVD APPROACH TO BARTOW AVE,ASCH LOOP,BARTOW AV,SB
18890352,23864,Manhattan,2017,1,13,17,15,224,35960,POINT (991896.4996042287 213826.3784398087),3 AVENUE,East 46 Street,East 47 Street,NB
