,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
6804046,14278,Brooklyn,2012,10,16,7,45,139,165258,POINT (998492.3 200574.1),MEEKER AV,LEONARD ST,WITHERS ST,EB
6257170,11559,Bronx,2012,10,2,3,15,13,122832,POINT (1006166.2 238740.1),UNNAMED ST,MORRIS AV,METRO NORTH RR,NB
23888697,28802,Manhattan,2018,11,7,5,30,7,158958,POINT (997793.1023793612 240917.51606322854),RIVERSIDE DRIVE,West 146 Street,West 147 Street,NB
15637458,21967,Queens,2015,10,31,10,30,15,98518,POINT (1049186.3299480772 215822.29206493552),46 AVENUE,215 Place,216 Street,WB
18478196,23870,Queens,2016,10,7,0,30,29,91425,POINT (1033331.139961603 217392.80981000367),PARSONS BOULEVARD,37 Avenue,38 Avenue,SB
14316155,19646,Queens,2015,5,9,14,30,317,102994,POINT (1067170.5551879496 208642.5789743422),HILLSIDE AVENUE,268 Street,Langdale Street,EB
17830737,22997,Manhattan,2016,3,16,2,0,24,38636,POINT (997548.3882567779 234568.89383369387),WEST 125 STREET,Frederick Douglass Boulevard,8 Avenue Line,WB
5617303,12067,Bronx,2011,12,12,16,45,113,179703,POINT (1031012.1 255150.9),RT95 EXIT 11 THROUGH RAMP TO BAY PLAZA MALL,BAYCHESTER AV/BAY PLZ DRIVEWAY,BAYCHESTER AV/NET NB EXIT 11,EB
16561912,23056,Bronx,2016,3,14,19,15,8,87235,POINT (1028498.7067024074 249881.62156171846),MARCONI STREET,Dead end,Bx State Hospital Entrance,SB
12574566,18034,Bronx,2014,10,2,6,45,31,78760,POINT (1014648.0310027217 242908.10694091633),SOUTHERN BOULEVARD,Jennings Street,East 172 Street,NB
8043062,15972,Manhattan,2013,11,7,7,45,149,34506,POINT (989248.4 223157.5),BROADWAY,W 72 ST,W 73 ST,SB
27064899,32407,Bronx,2020,10,24,12,30,107,70155,POINT (1007500.4789072205 233009.72190548282),EAST 138 STREET,Pelham Line,Cypress Avenue,EB
354621,1601,Staten Island,2010,6,4,13,30,51,7801,POINT (942019 153276.1),W/B TRAVIS AVE @ KELLY BLVD,KELLY BLVD,EVANS ST,WB
4587274,10525,Staten Island,2012,10,13,21,30,27,8834,POINT (944722.6 160825.8),N GANNON AV,WOODWARD AV,CRAFTON AV,WB
22033873,26999,Manhattan,2017,11,9,13,0,52,37741,POINT (998149.3891758899 220224.60705915422),EAST 79 STREET,York Avenue,East End Avenue,WB
25105099,30153,Queens,2019,5,29,8,45,1134,142785,POINT (1029697.6282669293 219793.99650614604),WHITESTONE EXPRESSWAY,Dead End,Whitestone Expwy Sb En Ulmer St,SB
5416488,11629,Brooklyn,2013,1,22,20,45,70,151648,POINT (985542.3 155891.3),CROPSEY AV,BAY 35 ST,24 AV,WB
18873805,25036,Brooklyn,2017,1,20,7,15,192,21399,POINT (987912.1134608461 174329.61681697544),FT HAMILTON PARKWAY,Chester Avenue,36 Street,EB
19027078,25271,Bronx,2017,2,3,14,15,95,107329,POINT (1022952.3740671935 248176.61452671175),BRONXDALE AVENUE,Morris Park Avenue,Dead end,SB
2892852,9219,Queens,2012,2,19,8,0,40,49635,POINT (1019982.3 198551.5),80 STREET,67 DRIVE,68 AVENUE,SB
24531302,29804,Queens,2019,2,13,0,15,46,48917,POINT (1012342.140361808 197728.79663401225),FRESH POND ROAD,Linden Street,Gates Avenue,SB
4744655,11471,Staten Island,2011,5,6,0,0,30,160215,POINT (947586.9 172600.4),RICHMOND TERRACE BET PORT RICHMOND AVE & MAPLE AVE,FERRY ST,FERRY STREET,WB
14151677,20967,Brooklyn,2015,8,8,11,45,194,29135,POINT (992129.2742636353 185559.47261208558),FLATBUSH AVENUE,Brighton Line,8 Avenue,SB
20399365,26345,Brooklyn,2017,8,8,7,45,144,28258,POINT (994840.9318585303 177745.1453015613),OCEAN AVENUE,Brighton Line,East Drive,NB
21371405,27324,Queens,2017,11,30,22,30,25,151749,POINT (1025325.6303833723 192034.00550227158),WOODHAVEN BOULEVARD,Dead end,Jamaica Avenue,NB
22223422,26853,Bronx,2018,1,21,0,15,83,78692,POINT (1013976.3357055013 247556.94032469482),EAST TREMONT AVENUE,Arthur Avenue,Hughes Avenue,WB
6245231,11561,Brooklyn,2012,10,9,3,0,3,19641,POINT (982604.3 165794.5),13 AV,73 ST,72 ST,NB
14349085,19668,Queens,2015,5,30,15,45,153,192770,POINT (1061622.3584959092 217788.77705467548),HORACE HARDING EXPRESSWAY SR S,Dead End,Dead end,EB
6843344,14597,Queens,2013,6,3,18,15,179,66978,POINT (1009824.8 204145.3),MAURICE AV,55 RD,BORDEN AV,NB
7702448,15467,Bronx,2013,10,3,9,15,51,131341,POINT (1022910.8 258478.1),BRONXWOOD AV,E 211 ST,E GUN HILL RD,SB
20264258,26093,Manhattan,2017,6,19,8,45,59,23247,POINT (981206.5539984154 199420.65040266464),PARK PLACE,Greenwich Street,Broadway/ 7 Avenue Line,EB
13326627,20122,Brooklyn,2015,5,10,16,15,35,22563,POINT (986948.0731809125 180069.27527401192),6 AVENUE,19 Street,20 Street,SB
20821545,26734,Bronx,2017,9,11,20,45,371,144024,POINT (1003341.4234341569 233750.58091319283),3 AVENUE BRIDGE,Dead End,Bruckner Boulevard,SB
13866188,19316,Brooklyn,2015,4,21,4,15,12,105839,POINT (987432.2200590193 184996.64509845988),3 AVENUE,3 Street,Dead end,SB
24839357,30329,Bronx,2019,5,1,16,30,57,93606,POINT (1035037.1711117962 237289.7803440851),EAST TREMONT AVENUE,Miles Avenue,Lawton Avenue,NB
1522110,3012,Queens,2010,3,15,9,30,85,48664,POINT (1011280.7 191659.4),S/B COOPER AVE @ IRVING AVE,COOPER ST/IRVING AV,WYCKOFF AV,SB
2280682,7603,Bronx,2009,12,16,14,0,62,88467,POINT (1027560 253790.5),EASTCHESTER RD @ ALLERTON AVE,MACE AV,FIELDING ST,SB
4831563,10176,Manhattan,2012,10,14,5,45,170,36026,POINT (991916 218063.7),5 AV,C P E 60 APPR/E 60 ST,E 61 ST,SB
23651783,28834,Brooklyn,2018,11,6,12,30,55,31332,POINT (999422.4365015598 194794.3188462745),THROOP AVENUE,Bartlett Street,Whipple Street,WB
3470404,9871,Manhattan,2011,4,16,10,15,114,165470,POINT (993022.6 216382.6),57TH ST APPROACH TO 3RD AVE,LEXINGTON AV,3 AV,EB
9850013,17721,Brooklyn,2014,7,17,1,30,142,137462,POINT (974718.6 160778.1),GOE EB EXIT 16,BELT PKWY,BEP EB EN 4 AV,EB
17184908,23544,Queens,2016,6,13,0,15,30,156599,POINT (1030862.7142060848 199788.61371785292),QUEENS BOULEVARD,Dead end,78 Avenue,WB
435971,1741,Manhattan,2010,9,15,20,30,11,31435,POINT (979839.2 200158.5),E/B MURRAY ST @ NORTH END AVE,RIVER TER,NORTH END AV,EB
12434173,18056,Queens,2014,10,11,20,30,98,52610,POINT (1023772.2343076511 198523.437002997),METROPOLITAN AVENUE,Trotting Course Lane,Dead end,WB
11179124,18635,Queens,2014,10,26,14,0,48,53841,POINT (1035830.7779258192 153158.77309370018),ROCKAWAY BEACH BOULEVARD,Beach 91 Street,Beach 90 Street,EB
18423498,23860,Manhattan,2016,10,14,0,15,466,186125,POINT (995499.7478263426 215290.06639697353),EAST RIVER WEST CHANNEL SHL,Dead End,Dead end,NB
10379967,17398,Bronx,2014,6,24,22,15,19,78552,POINT (1013065.7 247994.9),3 AV,E TREMONT AV,E 178 ST,SB
9424345,16776,Brooklyn,2014,3,24,22,0,103,17851,POINT (979985.4 170388.7),65 ST,6 AV/GOE EB EN 65 ST,7 AV,EB
24857773,29023,Bronx,2018,9,29,23,0,232,144019,POINT (1003489.8438739484 233692.24279313258),3 AVENUE BRIDGE,Dead End,Dead end,SB
720738,2096,Queens,2009,6,6,8,45,59,67884,POINT (1006800.6 215733.6),W/B BROADWAY @ STEINWAY ST,STEINWAY ST,41 ST,WB
6835553,14494,Queens,2013,6,8,2,30,2,106839,POINT (1003120.7 210191.8),33 ST,47 AV,QUEENS BLVD,NB
17175693,23599,Brooklyn,2016,6,7,0,30,112,22413,POINT (985685.2864341048 188690.44988539894),COURT STREET,Butler Street,Douglass Street,SB
19980552,25852,Queens,2017,5,18,23,30,73,68172,POINT (1009435.7425128688 210722.96239558348),ROOSEVELT AVENUE,55 Street,56 Street,EB
4154581,10897,Staten Island,2011,5,27,8,30,167,8335,POINT (940865.9 164156.5),Richmond Ave SB Between,W. Caswell Ave and Deppe Pl,DEPPE PLACE,SB
4580008,10525,Queens,2012,10,20,20,15,77,57037,POINT (1038015.8 193576.1),SUTPHIN BLVD,95 AV,97 AV,SB
890594,2345,Bronx,2009,10,19,13,0,159,81302,POINT (1017972.4 260225.3),W/B E GUNHILL RD @ BAINBRIDGE AVE,BAINBRIDGE AV,WAYNE AV,WB
11886055,18476,Brooklyn,2014,11,9,3,15,12,41028,POINT (1003951.0583300772 167108.28062464687),FLATLANDS AVENUE,East 48 Street,East 49 Street,EB
22929676,28260,Brooklyn,2018,6,15,4,30,10,9008142,POINT (1020871.1965147513 182872.23309463204),LINDEN BOULEVARD,Crescent Street,Dead end,EB
14684803,21836,Manhattan,2015,10,29,14,0,201,37581,POINT (995281.0397224073 224134.90507532627),5 AVENUE,East 87 Street,East 86 Street,SB
