bin,year,idw_atvc
1015677,2020,275.8204847457348
1088138,2018,98.42307458097856
1088138,2019,131.03606824008187
1088138,2020,282.9635048192162
1003432,2018,116.48759947333106
1003432,2019,145.50453982610284
1003432,2020,368.16774476218757
1053501,2018,110.48415662054396
1053501,2019,144.10242731093126
1053501,2020,289.82303318227633
1015647,2018,128.05737213529972
1015647,2019,170.6147581239511
1015647,2020,278.05549929416424
1037167,2018,163.45406185247143
1037167,2019,193.6171624141542
1037167,2020,197.57592479876337
1002617,2018,115.53544932639785
1002617,2019,148.05845989422167
1002617,2020,351.23660895334297
1081323,2018,103.80587292553217
1081323,2019,140.85367135433262
1081323,2020,284.60005121011494
1085731,2018,136.93877960744047
1085731,2019,193.37067988893992
1085731,2020,205.77034548690375
1085928,2018,109.55891508453199
1085928,2019,124.57108539011911
1085928,2020,340.383160046545
1019077,2018,131.75027255755464
1019077,2019,185.4586163761545
1019077,2020,261.0139245730728
1008815,2018,124.28360606461874
1008815,2019,141.97783200681502
1008815,2020,317.2670598495664
1079236,2018,117.18058738349589
1079236,2019,150.23255107000404
1079236,2020,358.6138505605298
1054882,2018,127.96132164579797
1054882,2019,163.3855481474587
1054882,2020,319.3555637592691
1031659,2018,101.7641763743975
1031659,2019,150.43723566827592
1031659,2020,264.1261642495581
1001703,2018,117.10924336456816
1001703,2019,147.56741168754434
1001703,2020,364.43795117709965
1055248,2018,101.43154407080327
1055248,2019,141.01495570195232
1055248,2020,282.38698822879604
1052769,2018,122.82588383853638
1052769,2019,155.6592245856151
1052769,2020,283.00043013228907
1089175,2018,135.76251906266438
1089175,2019,156.97129090236126
1089175,2020,342.63215089065847
1005411,2018,100.10005293253619
1005411,2019,126.82339725993381
1005411,2020,344.2864111512323
1063053,2018,128.0806246644271
1063053,2019,145.2377213018533
1063053,2020,373.1154603604109
1005594,2018,102.36336458902389
1005594,2019,129.75755280080824
1005594,2020,347.31626326483524
1032119,2018,117.14323015120874
1032119,2019,159.00003107672524
1032119,2020,253.2331365206788
1004310,2018,100.27921048302188
1004310,2019,126.20567457547928
1004310,2020,346.63876018877374
1085768,2018,99.8224481600808
1085768,2019,146.4703595929527
1085768,2020,286.82088633962195
1001003,2018,113.0555670461507
1001003,2019,156.24932107908285
1001003,2020,379.58609728373847
