bin,year,idw_aadt
1077359,2019,13826.635891462525
1077359,2020,13986.803661632033
1077359,2021,15703.891785941774
1082485,2019,8406.77509247571
1082485,2020,8536.702685248543
1082485,2021,9578.196874042362
1056690,2019,13406.604539341177
1056690,2020,14524.904740487127
1056690,2021,16364.826654266673
1059824,2019,16060.82017279494
1059824,2020,16843.735951916737
1059824,2021,18968.966037371385
1043163,2019,12532.381500978445
1043163,2020,12521.092895517922
1043163,2021,14043.386355188815
1020156,2019,14496.979312215262
1020156,2020,15501.181469251711
1020156,2021,17267.568956997846
1089879,2019,7766.6632974276035
1089879,2020,7805.589174483729
1089879,2021,8715.68030165163
1064129,2019,13294.051915315014
1064129,2020,15326.801689291251
1064129,2021,16871.960452735133
1026418,2019,11360.226505042656
1026418,2020,11560.915431780113
1026418,2021,12898.454340687062
1066760,2019,6507.82363893527
1066760,2020,6600.956457106456
1066760,2021,7408.83574332169
1003256,2019,8244.89320795551
1003256,2020,8766.128374480251
1003256,2021,9874.869763858142
1089117,2019,11814.7080455737
1089117,2020,12970.759328872728
1089117,2021,14514.040936135903
1089207,2019,14844.751558207317
1089207,2020,17148.93823805026
1089207,2021,18971.71921073558
1020177,2019,14665.161481198713
1020177,2020,13570.438022946417
1020177,2021,15109.30378262745
1032028,2019,9815.026309106333
1032028,2020,10423.756806017074
1032028,2021,11668.463584137517
1082057,2019,12901.362851223945
1082057,2020,14419.834368363703
1082057,2021,15908.574952514726
1001268,2019,8301.74539812917
1001268,2020,7138.483798241049
1001268,2021,8063.157431523778
1029749,2019,13115.411180924671
1029749,2020,13512.63268297777
1029749,2021,15135.671503728696
1022577,2019,10177.469673343918
1022577,2020,9972.988083255821
1022577,2021,11112.103848579078
1081219,2019,10902.494553481263
1081219,2020,10343.84240717369
1081219,2021,11550.195888059045
1025136,2019,9789.912096114156
1025136,2020,9789.788256678177
1025136,2021,10891.9754506041
1090955,2019,18362.359515014596
1090955,2020,19620.66383915749
1090955,2021,22114.201034785583
1002605,2019,7955.282982522351
1002605,2020,7525.955617440674
1002605,2021,8462.804953252487
1003749,2019,7967.357841878021
1003749,2020,8547.074698739447
1003749,2021,9627.08873573324
1024777,2019,9284.905234100683
1024777,2020,8994.118074730204
1024777,2021,9998.25384067194
1034827,2019,10626.558619354435
1034827,2020,10124.759876103008
1034827,2021,11385.313532981158
1086963,2019,10659.674382426598
1086963,2020,11739.370597266561
1086963,2021,13131.732492219506
1087122,2019,11413.739221174159
1087122,2020,10754.313757618766
1087122,2021,12043.437854157299
1048761,2019,14307.898007688109
1048761,2020,14211.096600297064
1048761,2021,15931.81937745392
1080218,2019,8415.794402755813
1080218,2020,8630.835449085405
1080218,2021,9686.192971880708
1019142,2019,11431.797788584943
1019142,2020,11025.659116062814
1019142,2021,12250.470458887808
1004544,2019,8849.021886502967
1004544,2020,8084.42552488448
1004544,2021,9055.456571554216
1036060,2019,11694.992136427
1036060,2020,11498.185739441138
1036060,2021,12971.029180034333
1004751,2019,7796.37969342971
1004751,2020,7320.614705115011
1004751,2021,8210.606058141479
1087898,2019,9631.489626502951
1087898,2020,9899.2392279949
1087898,2021,11088.417705595022
1053008,2019,15946.254361555817
1053008,2020,17683.863771556906
1053008,2021,19758.358007270737
1015677,2019,8943.162567584282
1015677,2020,8799.945257053078
1015677,2021,9790.060792261282
1088138,2019,10066.777406460316
1088138,2020,11026.457055431712
1088138,2021,12386.341558601487
1003432,2019,6520.668851473036
1003432,2020,6540.229726938446
1003432,2021,7478.806279055546
1053501,2019,12210.943715282452
1053501,2020,13480.538005989452
1053501,2021,15142.517702957726
1015647,2019,8532.553070011942
1015647,2020,8211.01283254664
1015647,2021,9156.587407120855
1037167,2019,13132.143723553098
1037167,2020,13194.46082556036
1037167,2021,14810.073406164829
1002617,2019,8497.757261541377
1002617,2020,8344.452884292787
1002617,2021,9360.97192882409
1081323,2019,12279.664497261001
1081323,2020,13287.851309614065
1081323,2021,14939.282799519153
1085731,2019,11720.570364297138
1085731,2020,11640.27287802914
1085731,2021,13010.878460551872
1085928,2019,7642.090181498235
1085928,2020,7647.422439187867
1085928,2021,8560.567019967275
1019077,2019,13042.204898858063
1019077,2020,13282.383067919915
1019077,2021,14789.812675824869
1008815,2019,6973.754997626021
1008815,2020,6924.048449633685
1008815,2021,7798.104015471564
1079236,2019,8203.924533559722
1079236,2020,7855.701589943106
1079236,2021,8799.617229240816
1054882,2019,15269.843033359604
1054882,2020,17252.270407997024
1054882,2021,19302.328408381494
1031659,2019,12373.978396276529
1031659,2020,12880.122743212192
1031659,2021,14494.15059048414
1001703,2019,8287.287109667948
1001703,2020,8041.592602985007
1001703,2021,9024.979330329006
1055248,2019,11264.408482907416
1055248,2020,12383.891394722215
1055248,2021,13990.131784795323
1052769,2019,12890.52558367821
1052769,2020,13914.511392046352
1052769,2021,15500.497445329054
1089175,2019,13068.773851848939
1089175,2020,14713.365869300384
1089175,2021,16320.545167489974
1005411,2019,6802.57777241953
1005411,2020,6561.968958141211
1005411,2021,7403.734785356314
1063053,2019,15452.867394509762
1063053,2020,17515.477870839328
1063053,2021,19338.8744648372
1005594,2019,8014.234342992583
1005594,2020,8188.009348753445
1005594,2021,9194.285058001433
1032119,2019,13223.989419684278
1032119,2020,14061.39537822833
1032119,2021,15791.072147820347
1004310,2019,6942.8582891093765
1004310,2020,6722.566936697974
1004310,2021,7581.575615986224
1085768,2019,14733.171285473049
1085768,2020,15910.859161607616
1085768,2021,17818.74057120414
1001003,2019,4538.4654218964515
1001003,2020,4004.9427829927645
1001003,2021,4555.247548053041
1012352,2019,11424.583446611834
1012352,2020,11696.04171927496
1012352,2021,13079.326316030716
1079023,2019,8162.733743797853
1079023,2020,8214.878995835354
1079023,2021,9234.49246398287
1086623,2019,8816.878712563486
1086623,2020,9172.402206899114
1086623,2021,10271.570425793487
1006093,2019,8623.83814487719
1006093,2020,8914.151650343998
1006093,2021,9951.77155399165
1006000,2019,8273.190429084989
1006000,2020,7772.828191604281
1006000,2021,8738.132767555866
1003956,2019,8309.266854489282
1003956,2020,8193.34090931971
1003956,2021,9198.071290654534
1040149,2019,12268.250588532976
1040149,2020,11089.386905075924
1040149,2021,12403.344502617943
1006426,2019,8346.951407247965
1006426,2020,8009.368195824049
1006426,2021,8928.302615461096
1084293,2019,11007.810724148649
1084293,2020,10810.10611365818
1084293,2021,12041.432690842055
1038538,2019,11924.113907882882
1038538,2020,11456.822084945044
1038538,2021,12763.879028995045
1003587,2019,7991.115080018978
1003587,2020,8099.084684802057
1003587,2021,9144.442002966849
1020158,2019,14510.118064364824
1020158,2020,15483.900725716558
1020158,2021,17232.084306741785
1060832,2019,12402.54628961419
1060832,2020,14267.535170408231
1060832,2021,15952.771405490375
1018305,2019,11012.853773720664
1018305,2020,11148.618260391766
1018305,2021,12397.979375641906
1005344,2019,6773.282378815194
1005344,2020,6855.30785885052
1005344,2021,7713.368186646341
1009453,2019,8561.649777559925
1009453,2020,9058.406534181175
1009453,2021,10150.54765164405
1082079,2019,17119.844144458915
1082079,2020,17443.044710790637
1082079,2021,19516.340996421583
1052951,2019,13758.003594507003
1052951,2020,15235.188945574017
1052951,2021,17130.028537807862
1031370,2019,11374.099090035275
1031370,2020,10315.08452519579
1031370,2021,11691.788791422317
1006936,2019,7958.042852898803
1006936,2020,7756.336457937455
1006936,2021,8697.444303558215
1080467,2019,11789.24750486917
1080467,2020,10496.78544305164
1080467,2021,11754.637413493841
1080970,2019,10489.529508712945
1080970,2020,10165.629084663964
1080970,2021,11509.94994495951
1052854,2019,12188.884706951962
1052854,2020,12342.463504661746
1052854,2021,13677.905521037568
1051780,2019,11974.400284986978
1051780,2020,12064.714795609101
1051780,2021,13488.532896873803
1012267,2019,15415.83178692674
1012267,2020,15373.813133298385
1012267,2021,17185.928314238827
1026869,2019,10802.953983384974
1026869,2020,11124.565213217216
1026869,2021,12494.678568143583
1007777,2019,6694.069818388257
1007777,2020,6895.830449941038
1007777,2021,7728.698385994968
1051484,2019,12357.626873010862
1051484,2020,12545.198885805341
