cdtaname,lat,lon
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71590674925625,-73.98209313555778
MN11 East Harlem (CD 11 Equivalent),40.81309481555953,-73.93567919190757
MN10 Harlem (CD 10 Equivalent),40.81376040145236,-73.9389997538019
MN07 Upper West Side (CD 7 Approximation),40.77800320080544,-73.98807231211512
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.871268427563685,-73.91667298491654
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.806435856134,-73.96020532784257
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.80866905817827,-73.9615603389043
MN07 Upper West Side (CD 7 Approximation),40.79449987385207,-73.96636061298037
MN07 Upper West Side (CD 7 Approximation),40.79733037059732,-73.96425159509646
MN07 Upper West Side (CD 7 Approximation),40.80063283697339,-73.97018015586549
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.76521327634447,-73.98023735699348
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.76729212378949,-73.98617036402669
MN07 Upper West Side (CD 7 Approximation),40.76981842108895,-73.984277080356
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.85544598955675,-73.92738130219537
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71731413995853,-73.97695423903791
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.822966292027544,-73.94646250393993
MN10 Harlem (CD 10 Equivalent),40.82321397370084,-73.94235701088448
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.73466830134619,-73.97658160379169
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72040540397035,-73.97566235006467
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.747493310957296,-74.00749192381899
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77719184190715,-73.95216125580153
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.7788147943451,-73.95097544240275
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.78109256151564,-73.95443072940375
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.845784511241305,-73.93445497744973
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.84289504920361,-73.93837899533465
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.84682256249812,-73.93747541706709
MN11 East Harlem (CD 11 Equivalent),40.80429981979511,-73.94236023603588
MN10 Harlem (CD 10 Equivalent),40.801961673990185,-73.94761934409424
MN10 Harlem (CD 10 Equivalent),40.80578648871666,-73.94523381762684
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.853976948323044,-73.93738595345586
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.854577360972335,-73.94043717205611
MN01 Financial District-Tribeca (CD 1 Equivalent),40.70542176625875,-74.00762084080833
MN01 Financial District-Tribeca (CD 1 Equivalent),40.7022610616502,-74.0098174747633
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72100069565593,-73.98682868648903
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.73128947736989,-73.99456142701202
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.73370780806554,-73.99233022833005
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.736113582492465,-73.98721508914969
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.75738328265074,-73.96158212561396
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77138085073762,-73.96151777175606
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.722418675885926,-74.00286273053098
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.725057114199366,-74.00047301727713
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77089119946825,-73.95227305609166
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.771702059486216,-73.95616561001027
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76214693274872,-73.96313667091631
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77492220370686,-73.95381524470044
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.775913970344526,-73.95820819064696
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77284119311837,-73.95084767928395
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.773956224459226,-73.94849633430073
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.776239097950715,-73.94534204293916
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.777271087365136,-73.9614251871961
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72125969815593,-73.98114118430725
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72296015104387,-73.98585593432642
MN11 East Harlem (CD 11 Equivalent),40.79832019974729,-73.94184675994761
MN11 East Harlem (CD 11 Equivalent),40.79759653504349,-73.9372596444048
MN07 Upper West Side (CD 7 Approximation),40.79294213678493,-73.97567871127083
MN07 Upper West Side (CD 7 Approximation),40.795514462363336,-73.97384450347211
MN10 Harlem (CD 10 Equivalent),40.81847225064949,-73.94138951188206
MN10 Harlem (CD 10 Equivalent),40.82101362010201,-73.93953129140507
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.811557913217335,-73.95500355967016
MN10 Harlem (CD 10 Equivalent),40.8084358366559,-73.9540738518145
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.80531273312654,-73.95940111501744
MN10 Harlem (CD 10 Equivalent),40.805052884244446,-73.95664189377851
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.740070466857844,-73.97923164122089
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.74179153388814,-73.98729697760518
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),40.74621511440281,-73.98407566590521
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.77975383077838,-73.94446783987955
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71010955582164,-73.99860736773412
MN07 Upper West Side (CD 7 Approximation),40.785272976909475,-73.98100654396058
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.82850407580549,-73.9499707935744
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.831441407417444,-73.94759762488754
MN10 Harlem (CD 10 Equivalent),40.817788485725366,-73.93621341383088
MN10 Harlem (CD 10 Equivalent),40.82489462805375,-73.9361061593106
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.7649038639197,-73.9959264318886
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.76748004394315,-73.9942385452031
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.76999221965761,-73.99238622786638
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.757167779671676,-73.99354886235356
MN07 Upper West Side (CD 7 Approximation),40.779650597711225,-73.9845373735384
MN07 Upper West Side (CD 7 Approximation),40.78264847487726,-73.98366748600742
MN64 Central Park (JIA 64 Equivalent),40.78247331813265,-73.96555855132823
MN07 Upper West Side (CD 7 Approximation),40.77132810957233,-73.98880362588025
MN07 Upper West Side (CD 7 Approximation),40.774297084691376,-73.99089788118098
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.74602686466964,-73.97067382498422
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.749499756411204,-73.97238394019524
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.750345692049095,-73.96731880378525
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.86477011655117,-73.91703054041277
MN11 East Harlem (CD 11 Equivalent),40.79100136670998,-73.92459676908915
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.86921963902536,-73.91865439816698
MN01 Financial District-Tribeca (CD 1 Equivalent),40.71540602796672,-74.01509446605183
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.75979605080714,-73.99964372693493
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.762413367152064,-73.99807086706694
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.83233735761488,-73.94106310483002
MN01 Financial District-Tribeca (CD 1 Equivalent),40.71432866603777,-74.01005917996164
MN10 Harlem (CD 10 Equivalent),40.831564861002235,-73.93679354908907
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.84659473611301,-73.93023405594619
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71213972410532,-73.98132474959215
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71176026570506,-73.99452717085234
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.738928026663615,-73.97448262573677
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76041964473007,-73.95920173745554
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76339774907664,-73.95614972690053
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.764840746103786,-73.97049384123373
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.731775643384786,-73.98938143650895
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.72941877614804,-73.99239469086501
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.86353296844765,-73.93192314262463
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.86431095892712,-73.92393400043376
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.76809090365869,-73.94437270847327
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.762132508430284,-73.94960233995428
MN01 Financial District-Tribeca (CD 1 Equivalent),40.70914642465037,-74.0036418756765
MN01 Financial District-Tribeca (CD 1 Equivalent),40.713367875066744,-74.00187972279168
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71255384770344,-73.99901988444236
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.71516605061654,-73.99882611635077
MN03 Lower East Side-Chinatown (CD 3 Equivalent),40.72395422711596,-73.97367781343596
MN01 Financial District-Tribeca (CD 1 Equivalent),40.70294112556648,-74.01557144814355
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.814302387114026,-73.96067909786541
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),40.81741086490465,-73.95718552725009
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.75614841398242,-74.00247122983863
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.75213333178309,-73.99721527020247
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40.75464732927025,-73.99538896525577
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),40.755757285695935,-73.95553078249868
MN11 East Harlem (CD 11 Equivalent),40.799146064074286,-73.93078272361431
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.83662494851343,-73.94209531322025
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.84032601661214,-73.93992262001404
MN11 East Harlem (CD 11 Equivalent),40.78787914496767,-73.95368639936785
MN11 East Harlem (CD 11 Equivalent),40.79106772679211,-73.9513550583697
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.739011812248215,-74.0082213443148
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.73037892173927,-74.00999837596717
MN02 Greenwich Village-SoHo (CD 2 Equivalent),40.73438603585238,-74.00873824290709
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.755787571765886,-73.96777444041794
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.75403382329995,-73.96439432880601
MN06 East Midtown-Murray Hill (CD 6 Approximation),40.75265895517079,-73.9700898222211
MN12 Washington Heights-Inwood (CD 12 Equivalent),40.87237794078632,-73.92434257949475
MN01 Financial District-Tribeca (CD 1 Equivalent),40.70914987178507,-74.01298629399969
MN01 Financial District-Tribeca (CD 1 Equivalent),40.7083788742714,-74.01704591363861
MN11 East Harlem (CD 11 Equivalent),40.80046753215276,-73.93518292329043
MN11 East Harlem (CD 11 Equivalent),40.80530138893839,-73.9341512244015
