neighborhood,name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng
Battery Park City,Serafina Italian Restaurant Tribeca,ChIJ-0VhGB9awokRksxfZJBvigE,2.0,4.3,1063,OPERATIONAL,,"95 W Broadway, New York, NY 10007",40.7156249,-74.0089397
Battery Park City,T.J. Byrnes Bar & Restaurant,ChIJyYiySj1awokRueQwalZ6hmA,2.0,4.3,227,OPERATIONAL,,"77 Fulton St, New York, NY 10038",40.7090939,-74.0046368
Battery Park City,The Tuck Room,ChIJ7epq4zxawokRADBrW_zuoMg,,4.0,446,OPERATIONAL,,"11 Fulton St, New York, NY 10038",40.7066295,-74.0031405
Battery Park City,Vu,ChIJMUNSg6lQwokRY4Ov5MQQ8Hw,3.0,4.0,267,OPERATIONAL,,"2 Exchange Pl, Jersey City, NJ 07302",40.7170582,-74.0323757
Battery Park City,Jack's Wife Freda - West Village,ChIJt_loX5JZwokRZkK8Zu2O_X4,2.0,4.4,1806,OPERATIONAL,,"50 Carmine St, New York, NY 10014",40.7298702,-74.0035426
Battery Park City,Sixty Three Clinton,ChIJ385rlW9ZwokRHTamoLqoosI,,4.8,292,OPERATIONAL,,"63 Clinton St, New York, NY 10002",40.719503,-73.985142
Battery Park City,Sevilla,ChIJpx2fW5RZwokRge-7dBOrTSQ,2.0,4.3,1083,OPERATIONAL,,"62 Charles St, New York, NY 10014",40.7348347,-74.0030537
Battery Park City,7 Old Fulton,ChIJicqxrzBawokRX369U2wDsdk,3.0,3.5,491,OPERATIONAL,,"7 Old Fulton St, Brooklyn, NY 11201",40.7029533,-73.99384309999999
Battery Park City,Aroy Dee Thai Kitchen,ChIJv-EALxhawokR9oeGPdShFLo,1.0,4.2,542,OPERATIONAL,,"20 John St, New York, NY 10038",40.7097921,-74.0089345
Battery Park City,Amber,ChIJGVXgsexZwokRpHZr2GIJBik,2.0,4.4,379,OPERATIONAL,,"135 Christopher St, New York, NY 10014",40.733152,-74.006957
Battery Park City,Inatteso Pizzabar,ChIJb1ng8xFawokRLcG2ng6A3Uk,2.0,4.4,576,OPERATIONAL,,"28 Little W St, New York, NY 10004",40.7060556,-74.0172087
The Bowery,Chelsea Square Restaurant,ChIJqYlpjrlZwokRI62BYbAFgY8,2.0,4.2,1254,OPERATIONAL,,"368 W 23rd St, New York, NY 10011",40.746205,-74.001278
The Bowery,Cowgirl SeaHorse,ChIJ24YpVTtawokRsFPSkHjTWoA,2.0,4.3,1254,OPERATIONAL,,"259 Front St, New York, NY 10038",40.7082332,-74.0005406
The Bowery,Onieal's,ChIJEUf6rIlZwokRHhWVMHCKqCY,2.0,4.3,769,OPERATIONAL,,"174 Grand St, New York, NY 10013",40.7196848,-73.9978515
The Bowery,Yuca,ChIJfS6RWp1ZwokRHRCIiP-IApE,2.0,4.2,1841,OPERATIONAL,,"111 Avenue A, New York, NY 10009",40.7262033,-73.983606
The Bowery,O'Hara's Restaurant and Pub,ChIJueUCrBBawokRiw9LMJFm0_o,2.0,4.6,4694,OPERATIONAL,,"120 Cedar St, New York, NY 10006",40.7095008,-74.0126642
The Bowery,DIG,ChIJT2cXMBZawokRBLbx2AApRas,1.0,4.3,550,OPERATIONAL,,"80 Pine St, New York, NY 10005",40.7060908,-74.00729319999999
The Bowery,Made 21 Restaurant & Lounge,ChIJ0cIK86dbwokRlol5_9zSu1M,,4.1,82,OPERATIONAL,,"231 S 4th St, Brooklyn, NY 11211",40.7105669,-73.95884989999999
The Bowery,Schilling Restaurant & Bar,ChIJZXs66hBawokRizEXnDJplPw,3.0,4.4,505,OPERATIONAL,,"109 Washington St, New York, NY 10006",40.7085845,-74.01401659999999
The Bowery,Tosokchon Restaurant NYC,ChIJNV2ZpgdZwokRmj9Iy3h2F-s,2.0,4.1,127,OPERATIONAL,,"14 E 33rd St 1FL A, New York, NY 10016",40.7472327,-73.98430610000001
The Bowery,Blend on the Water,ChIJaQR-pCFZwokRNMloynEQPgA,2.0,4.2,4945,OPERATIONAL,,"45-40 Center Blvd, Queens, NY 11109",40.7482388,-73.95690809999999
The Bowery,Xi'an Famous Foods 西安名吃,ChIJr_kSP5hbwokRCD6pIF3py5c,1.0,4.4,728,OPERATIONAL,,"8 Liberty Pl, New York, NY 10038",40.7092,-74.0092878
The Bowery,Chelsea Ristorante Italiano,ChIJ3Qtyib5ZwokRswc-QzntwIU,2.0,4.2,533,OPERATIONAL,,"108 8th Ave, New York, NY 10011",40.7406515,-74.0015913
The Bowery,Tutt Heights,ChIJAQAsDTdawokRbXcJnQ55gBM,1.0,4.5,401,OPERATIONAL,,"47 Hicks St, Brooklyn, NY 11201",40.700213,-73.993316
The Bowery,SAINT RESTAURANT BAR & SPEAKEASY,ChIJ6atD-WRZwokRULgcZ4TWin8,3.0,4.5,655,OPERATIONAL,,"136 2nd Ave, New York, NY 10003",40.7286979,-73.9872499
The Bowery,Gotham Restaurant,ChIJZ72FzplZwokRmcA7CQzDMj0,4.0,4.5,1347,OPERATIONAL,,"12 E 12th St, New York, NY 10003",40.7341848,-73.99369519999999
The Bowery,Rossini's,ChIJV6mJyQZZwokRPoUsJJjsgoI,3.0,4.5,576,OPERATIONAL,,"108 E 38th St, New York, NY 10016",40.7492295,-73.9789195
The Bowery,Lena's Italian Kitchen,ChIJ8TzazwhZwokRUacdVHD8CBg,2.0,4.6,321,OPERATIONAL,,"551 2nd Ave, New York, NY 10016",40.7426375,-73.9777296
The Bowery,Gramercy Kitchen,ChIJDxR7d59ZwokRkTMW7oCrVl4,2.0,4.3,674,OPERATIONAL,,"184 3rd Ave, New York, NY 10003",40.7351654,-73.98605049999999
The Bowery,OLIO E PIÙ,ChIJ_RUJvZZZwokRNUEv3K4nSik,2.0,4.6,6061,OPERATIONAL,,"3 Greenwich Ave, New York, NY 10014",40.7338794,-73.99994079999999
