Yr,WktGeom,street,fromSt,toSt,mean,median
2018,POINT (982734.1573065823 201580.93818168805),WALKER STREET,Beach Street,8 Avenue Line,72.66071428571429,78.0
2018,POINT (982803.7404824628 201152.4623216652),AVENUE OF THE AMERICAS,8 Avenue Line,8 Avenue Line,176.99776785714286,194.0
2018,POINT (982808.9697665441 201693.19880942465),AVENUE OF THE AMERICAS,8 Avenue Line,8 Avenue Line,194.62723214285714,215.0
2018,POINT (982877.3474610402 213144.49845334244),11 AVENUE,West 27 Street,West 28 Street,111.19791666666667,122.0
2018,POINT (982899.142016708 202836.87538889694),AVENUE OF THE AMERICAS,8 Avenue Line,8 Avenue Line,229.2529761904762,245.0
2018,POINT (983299.5534537426 204851.2519458902),BEDFORD STREET,Dead End,Downing Street,40.39136904761905,43.0
2018,POINT (983390.2528229593 205059.72377627948),DOWNING STREET,Dead End,Bedford Street,6.879464285714286,7.0
2018,POINT (983415.2827304859 213291.17110564065),WEST 29 STREET,High Line,11 Avenue,60.904761904761905,64.0
2018,POINT (983493.9734752652 201958.74317383766),GREENE STREET,Canal Street,Grand Street,23.873511904761905,22.0
2018,POINT (983624.5997856253 201212.81427122175),BROADWAY,Broadway Line,Broadway Line,147.66071428571428,159.0
2018,POINT (983719.3522859985 205783.90239071124),CORNELIA STREET,Bleecker Street,West 4 Street,17.632440476190474,17.0
2018,POINT (983847.6740592703 205995.7869115095),WEST 4 STREET,Jones Street,Cornelia Street,50.62797619047619,50.0
2018,POINT (983892.8274293619 200887.369477635),WALKER STREET,Cortlandt Alley,Lafayette Street,52.76231060606061,55.0
2018,POINT (983943.7898927081 201982.66815281575),GRAND STREET,Mercer Street,Broadway,82.29910714285714,87.0
2018,POINT (984089.0412279071 212040.33877590188),WEST 26 STREET,Pedestrian Path,9 Avenue,61.52232142857143,66.0
2018,POINT (984178.3104085706 202070.63511187315),BROADWAY,Broadway Line,Broadway Line,198.5282738095238,207.0
2018,POINT (984397.6971116031 217406.4311939929),12 AVENUE,Bike Path,Dead end,445.3268229166667,530.5
2018,POINT (984441.6758744519 217350.62827101946),12 AVENUE,West 44 Street,West 45 Street,397.9904513888889,499.5
2018,POINT (984522.2009639048 207619.66776933844),WEST 12 STREET,7 Avenue,6 Avenue Line,63.54315476190476,70.5
2018,POINT (984540.661048022 208717.81286425624),7 AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,319.2842261904762,353.5
2018,POINT (985021.2727715732 212399.96024879342),WEST 29 STREET,8 Avenue,9 Avenue,70.72172619047619,77.0
2018,POINT (985031.393485933 217039.22504542628),11 AVENUE,West 44 Street,West 45 Street,117.88782051282051,25.0
2018,POINT (985082.5324372944 196533.72263664615),BROOKLYN BRIDGE,Dead End,East River Shoreline,578.8891369047619,647.5
2018,POINT (985100.8354004893 204810.70575111383),WEST 3 STREET,Dead End,Alley,47.30952380952381,45.0
2018,POINT (985117.685764142 196561.98332260794),BROOKLYN BRIDGE,Dead End,East River Shoreline,664.7589285714286,748.0
2018,POINT (985173.0897072607 198304.79272711193),CATHERINE STREET,Catherine Slip,Dead End,24.34375,25.0
2018,POINT (985221.3045027909 198086.24122481985),CATHERINE STREET,Dead End,Catherine Slip,21.39699074074074,22.0
2018,POINT (985230.6792010961 211821.59449350386),8 AVENUE,8 Avenue Line,8 Avenue Line,225.17628205128204,241.0
2018,POINT (985274.6404337685 203499.3503551785),EAST HOUSTON STREET,Broadway,Crosby Street,189.1344696969697,210.0
2018,POINT (985315.2115782836 203542.42269133317),EAST HOUSTON STREET,Broadway,Crosby Street,200.96448863636363,221.5
2018,POINT (985357.2959442276 203900.44267850832),BROADWAY,Bleecker Street,Broadway Line,234.98363095238096,252.0
2018,POINT (985612.4808937443 211192.6030799547),WEST 26 STREET,8 Avenue,7 Avenue,69.74404761904762,78.0
2018,POINT (985849.4339179472 198422.94680761147),MARKET STREET,Monroe Street,Cherry Street,33.95238095238095,35.0
2018,POINT (986160.4435548312 221075.3355551486),12 AVENUE,Dead End,Dead end,569.0561755952381,607.5
2018,POINT (986217.6510087484 221054.9937114598),12 AVENUE,Dead End,Dead end,508.01636904761904,563.5
2018,POINT (986224.8392246999 200991.06638814198),FORSYTH STREET,Grand Street,Broome Street,30.60648148148148,31.0
2018,POINT (986273.4928119063 210825.22759467288),WEST 26 STREET,7 Avenue,6 Avenue Line,82.58779761904762,93.0
2018,POINT (986301.0020811511 205367.93747399427),BROADWAY,Broadway Line,Astor Place,216.51934523809524,238.0
2018,POINT (986354.0661120211 210780.48693762423),WEST 26 STREET,7 Avenue,6 Avenue Line,77.11011904761905,86.0
2018,POINT (986392.6348626565 206583.6280952526),EAST 12 STREET,University Place,Broadway,73.12202380952381,83.0
2018,POINT (986409.449468416 204856.78558861595),LAFAYETTE STREET,East 4 Street,Astor Place,138.74869500372856,157.0
2018,POINT (986586.7695539182 217983.82081845115),10 AVENUE,West 50 Street,West 51 Street,330.12872023809524,364.0
2018,POINT (986602.8802739205 211525.75731532427),WEST 29 STREET,6 Avenue Line,7 Avenue,81.98214285714286,86.5
2018,POINT (986632.3499762908 212494.40909042043),7 AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,330.9940476190476,352.0
2018,POINT (986636.724960359 211507.03781302262),WEST 29 STREET,6 Avenue Line,7 Avenue,69.30208333333333,75.0
2018,POINT (986662.0158106149 210690.12419254592),AVENUE OF THE AMERICAS,6 Avenue Line,6 Avenue Line,307.4032738095238,332.5
2018,POINT (986710.9756585227 205536.5687161236),WANAMAKER PLACE,Broadway,Lafayette Street,84.2215909090909,92.0
2018,POINT (986780.4793264889 206808.8843383262),BROADWAY,Broadway Line,14 Street/canarsie Line,214.82738095238096,246.0
2018,POINT (986814.7703362274 196945.10914437595),MANHATTAN BRIDGE,Manhattan Bridge Line,Manhattan Bridge Line,373.3876488095238,374.0
2018,POINT (986829.8036606885 196996.20095248145),MANHATTAN BRIDGE,Dead End,Dead end,217.35193452380952,222.0
2018,POINT (986837.4486607028 218436.3908829465),10 AVENUE,West 52 Street,West 53 Street,328.22767857142856,367.5
2018,POINT (986842.1297953392 197939.44309122165),SOUTH STREET,Pike Slip,Rutgers Slip,60.72445255474452,63.0
2018,POINT (986863.0264833217 197013.41376878403),MANHATTAN BRIDGE,6 Avenue Line,6 Avenue Line,204.8095238095238,217.0
2018,POINT (986889.2387207459 211957.7531672701),WEST 31 STREET,6 Avenue Line,7 Avenue,106.06547619047619,111.0
2018,POINT (986894.7090148963 205550.84354314944),4 AVENUE,East 9 Street,East 10 Street,151.50347222222223,164.5
2018,POINT (986902.8082711459 216696.10890837928),9 AVENUE,West 46 Street,West 47 Street,312.03125,359.0
2018,POINT (986988.6507230266 201581.540156729),ALLEN STREET,Delancey Street,Rivington Street,62.282738095238095,63.0
2018,POINT (987039.5615738734 217884.16088016704),WEST 51 STREET,9 Avenue,10 Avenue,32.84375,35.0
2018,POINT (987056.6815262485 201549.75930555572),ALLEN STREET,Delancey Street,Rivington Street,90.78720238095238,58.0
2018,POINT (987065.6805474724 201572.3740324835),ALLEN STREET,Delancey Street,Rivington Street,26.543154761904763,24.0
2018,POINT (987086.4250840293 220743.06781532825),WEST END AVENUE,West 60 Street,West 61 Street,103.73739322127308,115.0
2018,POINT (987091.7913857455 218895.19262368657),10 AVENUE,West 54 Street,West 55 Street,327.64136904761904,369.0
2018,POINT (987126.6587759812 210354.19729849242),WEST 26 STREET,6 Avenue Line,Broadway,81.25744047619048,94.0
2018,POINT (987135.5647977084 202242.56494746942),STANTON STREET,Eldridge Street,Dead end,10.520833333333334,11.0
2018,POINT (987140.1674943457 219640.93785072715),WEST 57 STREET,Amtrak-northeast Line,10 Avenue,67.27827380952381,71.0
2018,POINT (987172.0859014474 212388.55204237867),WEST 33 STREET,6 Avenue Line,7 Avenue,30.364583333333332,32.0
2018,POINT (987190.2413179895 201732.03427949428),RIVINGTON STREET,Orchard Street,Allen Street,41.19345238095238,43.0
2018,POINT (987222.4427638241 201991.9490210692),ALLEN STREET,Rivington Street,Stanton Street,161.14880952380952,167.0
2018,POINT (987269.034056371 218353.45587109757),WEST 53 STREET,9 Avenue,10 Avenue,62.34375,65.0
2018,POINT (987318.9715483232 211876.02613052493),AVENUE OF THE AMERICAS,6 Avenue Line,6 Avenue Line,353.0074404761905,383.0
2018,POINT (987361.8731041634 202152.30017307404),STANTON STREET,Allen Street,Orchard Street,16.248511904761905,14.0
2018,POINT (987365.7987489305 209848.76539379847),5 AVENUE,Broadway,West 25 Street,231.53365384615384,253.0
2018,POINT (987418.365411486 210193.22356511926),WEST 26 STREET,Broadway,5 Avenue,89.91815476190476,101.0
2018,POINT (987478.4899929476 218834.65299878514),WEST 55 STREET,9 Avenue,10 Avenue,71.33333333333333,80.0
2018,POINT (987577.1726113422 206029.77109724525),3 AVENUE,East 12 Street,East 13 Street,139.46354166666666,141.0
2018,POINT (987590.4077829714 200251.79512561683),GRAND STREET,Norfolk Street,Suffolk Street,45.876488095238095,50.0
2018,POINT (987625.8246516006 201333.8690886138),ESSEX STREET,Delancey Street,Houston/essex Street Line,69.06696428571429,63.0
2018,POINT (987628.104087361 219864.04075990137),10 AVENUE,West 58 Street,Amsterdam Avenue,218.48660714285714,244.5
2018,POINT (987637.7056039225 210952.5938990495),WEST 29 STREET,5 Avenue,Broadway,65.56696428571429,70.0
2018,POINT (987779.3187090395 219286.91056460608),WEST 57 STREET,9 Avenue,10 Avenue,133.29017857142858,142.0
2018,POINT (987795.1707192899 216449.397035686),8 AVENUE,8 Avenue Line,8 Avenue Line,268.6185897435897,308.0
2018,POINT (987822.1736355507 211733.58804331932),WEST 32 STREET,5 Avenue,Broadway,60.273809523809526,63.5
2018,POINT (987831.9800268546 201204.72887775884),NORFOLK STREET,Delancey Street,Rivington Street,27.136574074074073,25.0
2018,POINT (987876.7867992013 220311.87741552634),AMSTERDAM AVENUE,West 60 Street,West 61 Street,203.6677685950413,245.0
2018,POINT (987952.1204588985 208842.40928038995),PARK AVENUE SOUTH,East 22 Street,East 23 Street,163.98660714285714,190.0
2018,POINT (987987.5714056812 208828.69422792704),PARK AVENUE SOUTH,East 22 Street,East 23 Street,167.80505952380952,200.0
